player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SI_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SI_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SI_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SI_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SI_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SI_release_spin_rate,SL_release_spin_rate,mlbAM_ID,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,,Year
"Benjamin, Wes",0.689574468,-0.534107143,0.688541667,,1.215957447,-1.088392857,1.64140625,,1.916595745,1.87875,1.809166667,,6.414893617,6.493571429,6.485572917,,84.52340426,78.62321429,90.91458333,,1804.319149,2585.357143,2365.671875,,605138,1.113333333,1.54,1.743333333,6.5,91.43333333,2417.333333,-0.210989011,0.442417582,1.983626374,6.405604396,85.53516484,2395.824176,,2020
"Berríos, José",-1.039082126,,-0.90486014,,0.358985507,,1.268391608,,-3.555362319,,-3.361048951,,5.269613527,,5.527832168,,84.65410628,,94.48216783,,1531.271845,,2192.094406,,621244,-1.319644128,0.867935943,-3.494483986,5.490818505,93.96868327,2128.088968,,,,,,,,2020
"Bieber, Shane",-1.323904762,0.752123077,-0.740448718,0.112013889,0.395142857,-1.194461538,1.520876068,-0.340902778,-1.230952381,-1.1688,-1.144700855,-1.207430556,5.619619048,5.673107692,5.674615385,5.618055556,88.72,83.64276923,94.09636752,84.50138889,1664.638095,2351.932308,2356.07265,2550.833333,669456,,,,,,,0.158979592,0.751683673,-1.234795918,5.632653061,89.23571429,2528.336735,,2020
"Bielak, Brandon",-1.352019231,0.5458,-0.703661017,0.683134328,0.546346154,-1.3012,1.35240678,0.074925373,-2.125288462,-1.8498,-1.901423729,-2.043432836,6.042596154,6.2892,6.23020339,6.125373134,86.4125,79.664,93.20067797,83.42238806,1857.019417,2423.88,2326.711864,2417.059701,656232,,,,,,,0.31825,0.57075,-1.91325,6.199,88.91875,2534.3625,,2020
"Boyd, Matthew",1.328449198,-1.077654321,0.933443223,-0.281382114,0.558342246,-1.213580247,1.180586081,-0.289105691,2.707165775,2.316296296,2.639212454,2.879186992,5.715721925,6.098641975,5.82474359,5.442154472,79.0855615,74.11728395,91.72161172,79.32520325,1881.565217,2505.851852,2303.825688,2323.487805,571510,1.338846154,0.899230769,2.699615385,5.723076923,90.52692308,2255.346154,,,,,,,,2020
"Brasier, Ryan",-1.171904762,,-0.613765182,0.530285714,0.478095238,,1.376032389,0.106214286,-1.22952381,,-1.455506073,-1.097928571,5.609047619,,5.78388664,5.831214286,87.42380952,,96.23036437,86.16214286,1528.047619,,2252.854251,2425.9,518489,-1.29,1.069375,-1.566875,5.6625,95.15625,2279.6875,,,,,,,,2020
"Brault, Steven",1.038121547,-1.056842105,0.755476923,-0.526190476,0.282099448,-0.441052632,1.2224,-0.178035714,2.364309392,2.263157895,2.651723077,2.371488095,5.709171271,5.714736842,5.718,5.785535714,85.02265193,73.89473684,92.18246154,82.99821429,1647.411111,2317.578947,2160.349845,2386.245509,643230,1.170188679,0.633773585,2.576415094,5.65754717,91.23962264,1973.019608,,,,,,,,2020
"Brewer, Colten",-0.795,0.893975904,-0.518571429,0.390666667,0.595,-1.248313253,0.908571429,0.482952381,-2.05,-1.546204819,-1.634285714,-1.70952381,6.465,6.589518072,6.468571429,6.504666667,85.6,80.80542169,93.95714286,89.05333333,1990,2780.939597,2201.428571,2558.580952,605155,-1.025,0.8125,-1.6775,6.3975,94.675,2345,0.14536036,0.878288288,-1.589954955,6.488018018,93.77162162,2405,,2020
"Brubaker, JT",-1.094,0.686454545,-0.664655172,0.137346154,0.630571429,-0.644090909,1.205862069,0.211846154,-2.631428571,-2.314181818,-2.443965517,-2.456115385,5.937142857,6.224454545,6.148448276,6.083153846,87.85142857,80.60909091,93.42758621,87.52615385,1758.085714,2857.081818,2249.568966,2633.884615,664141,-1.320106383,0.794929078,-2.481666667,6.069858156,93.79184397,2298.62766,,,,,,,,2020
"Bubic, Kris",1.051582734,-0.837837838,0.50419802,,0.856151079,-0.984391892,1.358356436,,1.289064748,0.990540541,1.084752475,,5.688021583,5.870878378,5.783742574,,79.63705036,78.48513514,91.43287129,,1739.956204,2567.027211,2176.795229,,663460,,,,,,,,,,,,,,2020
"Buehler, Walker",,0.9884375,-0.433684211,0.894090909,,-1.112916667,1.606873065,-0.129090909,,-0.887916667,-0.851362229,-1.016136364,,5.773541667,5.822693498,5.667272727,,81.94479167,96.81764706,87.45,,3042.447917,2546.009288,2948.681818,621111,-1.147307692,1.246730769,-1.181730769,5.585384615,97.16923077,2450.769231,0.460588235,0.856,-1.034705882,5.653764706,92.71647059,2828.2,,2020
"Bumgarner, Madison",0.985555556,-0.927826087,0.514710145,,0.69,-0.166770186,1.443297101,,2.906666667,2.875838509,2.845978261,,5.628888889,5.698571429,5.73423913,,83.08888889,76.91180124,88.3807971,,1684.222222,2492.726708,2394.65942,,518516,1.015,1.195,2.8225,5.7075,88.2,2419,-0.352269231,0.633423077,2.915692308,5.706153846,83.54961538,2491.890625,,2020
"Bundy, Dylan",-1.084285714,0.673697479,-0.411169591,0.355333333,0.696912442,-1.074201681,1.583596491,-0.086196078,-2.306129032,-2.161932773,-2.260175439,-2.453568627,6.064562212,6.229579832,6.152953216,6.002509804,82.20322581,73.45714286,89.98070175,79.91137255,1620.293839,2349.336134,2423.765396,2538.34902,605164,-1.069882353,1.321529412,-2.164823529,6.212352941,90.65647059,2348.352941,,,,,,,,2020
"Burnes, Corbin",-1.032300885,0.916847826,-0.2288,0.647890625,0.581858407,-0.509130435,1.3568,0.04265625,-0.897610619,-0.583913043,-0.786,-0.904453125,5.743097345,6.093152174,6.0132,5.83390625,88.90176991,81.1076087,96.1,86.71328125,1953.539823,2963.358696,2668.52,2908.6875,669203,-0.980538922,1.096107784,-0.817005988,5.978323353,95.9739521,2683.317365,0.359213836,0.791823899,-0.922893082,5.891289308,93.14937107,2917.735849,,2020
"Buttrey, Ty",-1.413809524,,-1.10811245,0.052210526,0.233809524,,1.101927711,-0.209052632,-2.499761905,,-2.203935743,-2.388526316,6.433571429,,6.508072289,6.598105263,86.19761905,,96.06144578,82.19684211,1824.582278,,2232.164659,1912.063158,621142,,,,,,,,,,,,,,2020
"Cabrera, Génesis",1.182692308,-0.561983471,0.6702,,0.919807692,-0.912066116,1.5213,,1.430769231,1.13214876,0.9752,,6.006153846,6.138842975,6.204,,88.47884615,81.31818182,96.0935,,1818.596154,2463.85124,2278.63,,650893,1.165833333,1.250416667,1.064583333,6.172916667,96.92083333,2332.208333,,,,,,,,2020
"Cahill, Trevor",-1.131037037,0.916761905,-0.695434783,,0.125407407,-0.959142857,1.023478261,,-1.85,-1.999904762,-2.117826087,,6.471925926,6.338857143,6.11673913,,82.68814815,78.45047619,90.84782609,,1546.8,2976.409524,2197.586957,,502239,-1.345,0.589912281,-2.163421053,6.135087719,90.85789474,2139,0.051785714,0.183035714,-2.336607143,6.026785714,85.1375,2186.071429,,2020
"Canning, Griffin",-1.255918367,0.646153846,-0.710739796,-0.044063927,0.725170068,-0.487692308,1.495892857,-0.199269406,-1.786530612,-1.798461538,-1.544668367,-1.723378995,5.920680272,6.088461538,5.975739796,6.030821918,87.9244898,82.13846154,92.75790816,86.55205479,1742.917241,2467.230769,2352.054264,2597.612903,656288,,,,,,,0.032319588,0.662938144,-1.735206186,5.946907216,88.64793814,2367.319588,,2020
"Carrasco, Carlos",-0.578885135,0.787083333,-0.73117801,0.319932886,0.148277027,-0.570138889,1.261073298,0.03090604,-1.502297297,-1.443333333,-1.486858639,-1.551073826,5.722804054,5.742916667,5.768717277,5.678322148,87.6722973,83.44861111,93.69450262,85.99932886,1317.061017,2930.15873,2472.175853,2780.1341,471911,-1.298113208,0.654528302,-1.560566038,5.675660377,92.33773585,2357.056604,,,,,,,,2020
"Castano, Daniel",0.945625,,0.304108108,-0.604344262,1.151666667,,0.943675676,-0.006639344,1.9959375,,1.891567568,2.005081967,5.986979167,,6.06827027,6.005081967,81.228125,,89.42918919,79.38688525,1726.510417,,2243.902703,2449.827869,641447,0.92,0.952535211,1.952676056,5.990422535,87.11126761,2074.228571,,,,,,,,2020
"Castellani, Ryan",-1.068629032,0.817443609,-0.876204188,0.271167883,0.5225,-0.726842105,1.042356021,0.172116788,-1.746209677,-1.722330827,-1.73473822,-1.724671533,5.413548387,5.429398496,5.320575916,5.350729927,85.825,79.50225564,92.57408377,85.03649635,1652.741935,2460.285714,2349.903141,2536.138686,624418,-1.246923077,1.003076923,-1.876923077,5.32,89.52307692,2191.384615,,,,,,,,2020
"Castillo, Luis",-1.371763006,,-0.918108974,-0.002058824,0.080520231,,1.030160256,0.030784314,-2.806271676,,-2.637596154,-2.878235294,5.126618497,,5.538685897,5.236176471,88.21011561,,97.41858974,86.75588235,1942.306122,,2180.598706,2484.331683,622491,-1.496082474,0.353195876,-2.682817869,5.395670103,97.45429553,2099.734266,,,,,,,,2020
"Castro, Miguel",-1.525393258,,,0.564662162,0.300337079,,,0.177972973,-2.582921348,,,-2.535135135,5.153258427,,,5.146891892,92.2752809,,,86.78108108,2123.494382,,,2931.128378,612434,-1.483907563,0.630462185,-2.41592437,5.120840336,98.07184874,2345.44958,,,,,,,,2020
"Cease, Dylan",-0.517753623,0.618118812,-0.364142582,0.582721713,1.22326087,-1.517128713,1.313391137,-0.350856269,-1.247173913,-1.254554455,-1.294373796,-1.411284404,6.210724638,6.191683168,6.319190751,6.177492355,82.86086957,78.96336634,97.45183044,85.00856269,1724.371212,2679.811881,2515.693957,2800.623853,656302,,,,,,,,,,,,,,2020
"Cishek, Steve",-1.5,,-0.532,1.076510417,0.0775,,0.861,-0.217135417,-3.53,,-3.603,-3.616458333,4.13,,4.164,4.100729167,82.4,,89.21,78.17291667,1847.75,,2354,2334.915789,518553,-1.277857143,0.500952381,-3.602142857,4.179404762,90.40178571,2311.26506,,,,,,,,2020
"Cisnero, José",-1.270434783,,-0.828758389,0.359383562,0.584782609,,1.225402685,0.031986301,-1.540434783,,-1.468187919,-1.464315068,5.309782609,,5.417315436,5.461369863,90.76521739,,96.32248322,86.72739726,1659.369565,,2413.050336,2507.657534,542585,-1.154482759,0.581034483,-1.537586207,5.352758621,95.36551724,2080.275862,,,,,,,,2020
"Civale, Aaron",-1.278728814,1.002619926,-0.328148148,0.620322581,0.726864407,-1.314649446,1.342592593,-0.154435484,-1.036271186,-0.638450185,-0.724444444,-0.823709677,5.860254237,6.120811808,6.073333333,6.0275,85.30338983,75.68118081,91.25925926,82.24112903,2031.779661,2836.121771,2339.592593,2703.395161,650644,-1.125349462,0.981236559,-0.90561828,5.933709677,91.75430108,2268.233871,0.419264305,0.734277929,-0.735476839,6.100926431,87.4106267,2497.773224,,2020
"Clarke, Taylor",-1.201764706,0.442432432,-0.450875,0.372052632,0.584369748,-0.875135135,1.5254375,0.234684211,-1.542857143,-1.074594595,-1.2431875,-1.199736842,6.037983193,6.35472973,6.25953125,6.261736842,88.86554622,79.91486486,94.345625,86.32631579,1508.336134,2475.22973,2335.61875,2245.789474,664199,,,,,,,,,,,,,,2020
"Clevinger, Mike",-0.899074074,0.310617284,-0.584362934,1.111238095,1.000740741,-0.914074074,1.476833977,0.008095238,-1.145185185,-0.922345679,-1.28984556,-1.198380952,5.718148148,5.951111111,5.697142857,5.772619048,87.22962963,78.72222222,95.13011583,81.65285714,1479.111111,2303.54321,2349.019305,2461.947619,605182,,,,,,,0.348666667,0.441111111,-1.269777778,5.73,88.03777778,2532.066667,,2020
"Clippard, Tyler",-0.684201681,0.490645161,-0.541265823,,0.723529412,-0.892258065,1.633417722,,-1.489285714,-1.555483871,-1.331012658,,6.144201681,5.861935484,6.026962025,,79.14117647,75.06451613,89.40126582,,1801.37395,2315.258065,2364.037975,,461325,-1.038705882,1.361529412,-2.123176471,5.806823529,88.76941176,2307.376471,,,,,,,,2020
"Cobb, Alex",-1.04665493,0.333925926,-0.568,,0.342676056,-1.019333333,1.372,,-1.967922535,-1.863555556,-1.906,,6.24,6.222740741,6.172,,86.92816901,81.70074074,92.9,,1616.077739,2578.537313,2097.8,,502171,-1.224960836,1.097232376,-1.911462141,6.168798956,92.4613577,2090.259162,,,,,,,,2020
"Cole, A.J.",-1.448064516,0.479,-0.694328358,0.141694915,0.712258065,-0.082,1.428507463,0.479887006,-1.407741935,-1.494,-1.014029851,-1.402090395,5.762903226,5.737,5.91,5.734915254,86.28064516,78.27,93.39179104,83.4920904,2072.709677,2197,2331.298507,2287.666667,595918,,,,,,,-0.189473684,0.941052632,-1.368157895,5.738421053,88.59736842,2171.552632,,2020
