mlbAM_ID,Year,player_name,CH_pfx_x,CU_pfx_x,FF_pfx_x,SL_pfx_x,CH_pfx_z,CU_pfx_z,FF_pfx_z,SL_pfx_z,CH_release_pos_x,CU_release_pos_x,FF_release_pos_x,SL_release_pos_x,CH_release_pos_z,CU_release_pos_z,FF_release_pos_z,SL_release_pos_z,CH_release_speed,CU_release_speed,FF_release_speed,SL_release_speed,CH_release_spin_rate,CU_release_spin_rate,FF_release_spin_rate,SL_release_spin_rate,SI_pfx_x,SI_pfx_z,SI_release_pos_x,SI_release_pos_z,SI_release_speed,SI_release_spin_rate,FC_pfx_x,FC_pfx_z,FC_release_pos_x,FC_release_pos_z,FC_release_speed,FC_release_spin_rate,Stf+ FF,Stf+ SI,Stf+ FC,Stf+ SL,Stf+ CH,Stf+ CU,fg_ID
622088,2020,"Antone, Tejay",-1.59,1.356210526,,0.600625,0.24,-0.873578947,,-0.100458333,-2.418571429,-2.382631579,,-2.508291667,5.381428571,5.768105263,,5.536416667,88.12857143,80.06947368,,83.43291667,1977.428571,2960.494737,,2677.841667,-0.9456,0.97424,-2.25096,5.807,95.2648,2599.212,,,,,,,,79.0,,112.0,95.0,152.0,16233
453562,2020,"Arrieta, Jake",-1.377983871,1.020754717,-0.56,0.30112426,-0.118064516,-0.796603774,1.16,0.577159763,-2.948225806,-2.782264151,-2.696666667,-2.887573964,6.038064516,6.18,6.23,6.061656805,87.27822581,81.8,91.93333333,88.7816568,1694.25,2651.509434,2249.0,2202.803571,-1.341447368,0.729236842,-2.677368421,6.204868421,92.02052632,2095.75266,,,,,,,88.0,88.0,,97.0,99.0,115.0,4153
453268,2020,"Bard, Daniel",-1.348823529,,-0.685227273,0.5144,-0.117058824,,0.935227273,0.09976,-2.829019608,,-2.707159091,-2.57488,5.048431373,,5.304261364,5.59904,89.73137255,,97.10511364,87.624,2126.137255,,2712.2,2815.4,-1.285384615,0.539615385,-2.795,5.160961538,96.77692308,2532.596154,,,,,,,97.0,76.0,,117.0,120.0,,7115
605130,2020,"Barlow, Scott",,1.252222222,-0.500204082,0.64156682,,-0.847606838,1.257346939,-0.169585253,,-1.170940171,-1.279591837,-1.467788018,,5.51957265,5.455204082,5.309032258,,78.02820513,94.7994898,83.46728111,,2470.452991,2307.646154,2387.409302,-0.99,1.14,-1.35,5.39,92.93333333,2357.0,,,,,,,96.0,126.0,,99.0,,121.0,14993
598264,2020,"Barnes, Matt",-1.38,0.307908163,-0.912235772,,0.717692308,-0.868163265,1.408617886,,-1.626153846,-1.555765306,-1.548495935,,6.185384615,6.353163265,6.261097561,,88.4,84.61887755,95.55162602,,2224.307692,2170.45641,2314.55102,,,,,,,,,,,,,,104.0,,,,115.0,122.0,12863
642545,2020,"Barria, Jaime",-0.835172414,,-0.474522293,0.316794872,0.857241379,,1.305796178,0.386495726,-2.344655172,,-1.907898089,-2.036324786,6.094827586,,6.374904459,6.341752137,84.34827586,,92.06433121,83.93076923,1497.086207,,2300.168831,2232.188841,-1.177258065,1.099193548,-1.978709677,6.375806452,92.17741935,2207.5,,,,,,,76.0,82.0,,95.0,81.0,,18356
542914,2020,"Bass, Anthony",-0.655217391,,-0.68,0.4038,1.040869565,,1.211666667,-0.047333333,-0.555217391,,-0.388333333,-0.7142,5.902608696,,5.946666667,5.8232,86.39565217,,95.65,85.80533333,1429.782609,,2034.166667,2264.14,-1.10297561,1.157073171,-0.552585366,5.906829268,94.51073171,2025.346341,,,,,,,,91.0,,131.0,105.0,,7982
605135,2020,"Bassitt, Chris",-1.445773196,1.013595506,-0.646455696,1.0875,0.791649485,-1.203932584,1.231518987,-0.147142857,-1.218969072,-0.878876404,-1.326898734,-1.427857143,5.748865979,5.956966292,5.589177215,5.5425,83.58659794,70.04157303,93.29240506,75.12857143,1949.547368,2184.590909,2159.987342,2238.321429,-1.309806094,0.976509695,-1.250277008,5.667479224,92.64542936,2112.311978,0.129342723,0.66685446,-1.344084507,5.623943662,87.84225352,2183.413146,78.0,91.0,88.0,107.0,105.0,80.0,12304
545333,2020,"Bauer, Trevor",-0.8175,0.732622951,-0.80317029,1.47772973,1.105,-1.643934426,1.644130435,-0.246432432,-1.53,-1.354918033,-1.514365942,-1.700216216,5.615,5.93568306,5.616485507,5.495135135,84.975,79.68415301,93.50380435,80.61135135,1730.75,2932.704918,2779.416667,2949.102703,-1.3275,1.2475,-1.635,5.39,94.075,2780.0,0.474556962,-0.088607595,-1.661181435,5.600675105,84.907173,2910.518987,126.0,161.0,90.0,135.0,63.0,96.0,12703
605138,2020,"Benjamin, Wes",0.689574468,-0.534107143,0.688541667,,1.215957447,-1.088392857,1.64140625,,1.916595745,1.87875,1.809166667,,6.414893617,6.493571429,6.485572917,,84.52340426,78.62321429,90.91458333,,1804.319149,2585.357143,2365.671875,,1.113333333,1.54,1.743333333,6.5,91.43333333,2417.333333,-0.210989011,0.442417582,1.983626374,6.405604396,85.53516484,2395.824176,106.0,124.0,97.0,,63.0,85.0,19243
621244,2020,"Berríos, José",-1.039082126,,-0.90486014,,0.358985507,,1.268391608,,-3.555362319,,-3.361048951,,5.269613527,,5.527832168,,84.65410628,,94.48216783,,1531.271845,,2192.094406,,-1.319644128,0.867935943,-3.494483986,5.490818505,93.96868327,2128.088968,,,,,,,101.0,86.0,,,104.0,154.0,14168
669456,2020,"Bieber, Shane",-1.323904762,0.752123077,-0.740448718,0.112013889,0.395142857,-1.194461538,1.520876068,-0.340902778,-1.230952381,-1.1688,-1.144700855,-1.207430556,5.619619048,5.673107692,5.674615385,5.618055556,88.72,83.64276923,94.09636752,84.50138889,1664.638095,2351.932308,2356.07265,2550.833333,,,,,,,0.158979592,0.751683673,-1.234795918,5.632653061,89.23571429,2528.336735,105.0,,92.0,122.0,108.0,121.0,19427
656232,2020,"Bielak, Brandon",-1.352019231,0.5458,-0.703661017,0.683134328,0.546346154,-1.3012,1.35240678,0.074925373,-2.125288462,-1.8498,-1.901423729,-2.043432836,6.042596154,6.2892,6.23020339,6.125373134,86.4125,79.664,93.20067797,83.42238806,1857.019417,2423.88,2326.711864,2417.059701,,,,,,,0.31825,0.57075,-1.91325,6.199,88.91875,2534.3625,73.0,,98.0,110.0,104.0,120.0,19866
571510,2020,"Boyd, Matthew",1.328449198,-1.077654321,0.933443223,-0.281382114,0.558342246,-1.213580247,1.180586081,-0.289105691,2.707165775,2.316296296,2.639212454,2.879186992,5.715721925,6.098641975,5.82474359,5.442154472,79.0855615,74.11728395,91.72161172,79.32520325,1881.565217,2505.851852,2303.825688,2323.487805,1.338846154,0.899230769,2.699615385,5.723076923,90.52692308,2255.346154,,,,,,,79.0,82.0,,110.0,101.0,96.0,15440
