,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Akin, Keegan",669211,1.2372592548251653,0.6279120738162631,1.2664423331822574,1.8757895141911596,7.885948799516555,120.78028007300281,0.13279222500620014,0.17383544697092823,0.6276368876080691,0.7829399179110994,0.14440965854510524,0.010893371757925041,7.757383634617071,195.12217273600572,0.04068989607894524,0.02737577504148092,0.4333805542523959,1.0046596240198378,1.643189883385832,1.0719108136183901,2.248838884793244,279.16570605187326,0.07233806380269447,0.080390221834997,,,,,,,,,,,,,,,,
1,"Alcantara, Sandy",645261,0.863182089635989,1.1668029403041307,0.7740987903710651,1.2558862395690547,7.64054401237685,120.27093203151935,0.004947053683796998,0.05620055070581742,0.6019700743903886,0.032966634470370904,0.42567078440343653,0.20926592445732295,6.702321522376437,36.53142527917589,0.055131242268652514,0.14086116618372202,0.007000676699471908,1.6243083690071642,1.2316042190740986,0.3857034732335937,1.3945069655913045,353.7477860158583,0.06899374052988527,0.08905423893375719,0.3277921307222015,1.722906609254889,1.3302024593218233,0.720496280655267,7.192757283429245,34.690666445852,0.044036765619177576,0.046056114492333045,,,,,,,,
2,"Alexander, Tyler",641302,1.3308774869666984,0.5319563251409725,1.0202255559102031,1.8191467177359293,8.351585275029265,158.56254040077556,0.09219065858069975,0.08581524630279791,0.32621794871794874,0.3062179487179487,0.18205128205128202,0.162051282051282,7.352564102564102,128.0961538461538,0.1874358974358976,0.10621794871794865,0.5893302240395264,1.0539481642388617,1.5422173950080926,1.077599454808757,1.5072365618877228,884.6410043444928,0.037481046085697134,0.038233878524575715,1.0569901437676001,1.1532040165999702,1.641473247369201,1.545259374536831,8.086742255817398,235.41789297658852,0.051754854009189,0.05083407440343812,0.6466391941391941,0.3576969403145874,0.13057229045464336,1.134908424908425,3.966931695755221,12.504557207498237,0.12444645550527866,0.1323702865761689
3,"Alzolay, Adbert",640470,1.1441280994527396,0.9072292412674818,1.2591932977501519,0.7921640429700696,7.846746841429621,315.32527469397337,0.06068238632524836,0.03364975339504106,0.2769258512133993,0.37259795831041015,0.020633901827740053,0.6288899076960695,6.163053976404441,38.40800587587228,0.005034537563420871,0.05038633168286477,0.5299685587244889,1.4235097021450764,1.7754737586277465,0.17800450224181874,0.6035301668806312,905.274188741105,0.08524157690089496,0.003930438503470413,0.7483257721632239,1.511768924806473,1.863732981289143,0.3963617156805539,7.609538014937556,401.27624737088126,0.09135344944956603,0.07383059575212947,0.31241194640564834,0.03225569640564829,0.3197083600770218,0.03955211007702175,4.0386573331193745,245.77056555269928,0.031504031611039984,0.0357695162066749
4,"Anderson, Brett",474463,1.5563194444444444,1.0552083333333333,0.9338690476190477,1.4349801587301587,6.928174603174597,426.56167176350664,0.10879960317460302,0.1473611111111106,0.5786833756345178,0.03914022842639597,0.16047951414068162,0.7000226613488034,5.683049311095004,3.9600156993574274,0.024759336475707272,0.32711294416243586,1.0727277131782946,1.60546673126615,1.4841274455518643,0.951388427464009,0.5131875230712382,893.3718819737169,0.1182546603912884,0.275448966408268,1.2517279411764706,1.6584044117647059,1.5370651260504202,1.130388655462185,7.431050420168063,618.3938818896515,0.005824579831932963,0.18038235294117566,1.2476473577235772,0.4017123983739837,0.28037311265969805,1.1263080720092915,4.040098722415792,288.48474868658354,0.052447009291521685,0.028689024390243567
5,"Anderson, Tyler",542881,1.1840962199312717,0.4200446735395189,1.0208780068728522,1.784929553264605,10.580171821305854,167.73542311661504,1.106856529209622,0.9500214776632312,0.7616666666666667,0.8297916666666667,0.22895833333333332,0.16083333333333338,5.702083333333334,14.416666666666515,0.8945833333333333,0.9627083333333335,0.8001040041601664,0.742303692147686,1.3431370254810193,1.4009373374934997,0.91885075403016,623.2697916666666,0.926030291211648,0.9207182787311501,0.24705080545229252,1.185266418835192,1.7860997521685253,0.8478841387856259,8.940086741016117,197.8269826517967,0.19152571251548967,0.050652106567534716,0.4929955947136564,0.5101027900146843,0.09073054331864905,1.0938289280469897,5.228120411160063,30.238436123348038,0.7133314977973568,0.718683920704847
6,"Arrieta, Jake",453562,,,,,,,,,1.4123759573610428,0.4484418865051283,0.7270442961436825,1.1337735477224884,7.940423702243933,412.95606216688293,0.09443955748645161,0.12406073364088321,0.41364958425250303,1.9093538096046156,1.6307513999660614,0.13504717461394877,1.2883607670117243,489.79730188359076,0.04408247072798277,0.045864754793822904,0.1774411995809324,1.8755044525929805,1.5969020429544263,0.45604360921948667,3.0921490309062136,193.18856210869671,0.2227077003666844,0.14574947616553136,,,,,,,,
7,"Bard, Daniel",453268,0.6168325591683256,0.9987148860871489,1.5543120340372378,0.0612354112182365,10.411050392286967,178.43819185754683,0.1890419870668909,0.3085666887856675,,,,,,,,,0.1059090909090909,1.5436363636363635,2.0992335115864527,0.6615062388591799,2.7563279857397447,764.3739002932552,0.16117647058823525,0.42681818181818265,0.24156792645556685,1.4215781409601633,1.9771752889102525,0.3140292214945222,10.2335496404895,323.5841488462006,0.2573545434517017,0.44542390194075665,,,,,,,,
8,"Barlow, Scott",605130,1.280994708994709,0.3415485008818342,1.0778800705467373,0.5446631393298059,10.307795414462078,114.23673602931558,0.16649735449735448,0.09147795414462134,0.7773633156966491,1.271668942367867,0.5353373727029641,1.5136948853615522,5.658551658417252,57.975529677687064,0.26192666552881616,0.22048024406895372,,,,,,,,,1.1043033509700175,1.2156966490299823,1.9520282186948852,0.36797178130511454,11.299647266313926,396.4293286219081,1.1583245149911816,0.03772486772486783,,,,,,,,
9,"Bassitt, Chris",605135,1.147475167844916,0.7062721088435375,1.9273333333333333,0.07358605664488005,16.224706771597525,160.89267707082809,0.15788315326130475,0.21265181628206786,1.1916400742115028,1.0655677179962895,0.15549350649350657,2.4127012987012986,5.301261595547317,2.86326530612223,0.6401762523191095,0.6091335807050093,0.5792011421852691,1.558288569748887,2.779349794238683,0.6418600823045268,8.30582514487277,373.3961871168219,0.16649365919207204,0.22158427815570736,0.7827906362545017,1.4361505402160863,2.6572117647058824,0.4382705882352942,15.738950780312123,216.31131725417436,0.2240674669867948,0.2319807923169268,0.7237821547223541,0.0006829615567157041,1.2217441860465117,0.49727906976744185,11.814337921215,109.2888467014709,0.07222971048884674,0.1540915994304699
