,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_CU_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CU_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CU_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CU_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_CU_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_CU_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CU_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CU_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CU_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CU_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Akin, Keegan",669211,1.8648961424332344,1.2555489614243323,1.4108519917273625,2.0201991727362647,15.643332434133626,74.34189266300291,0.0921023289272549,0.20121122201240915,0.6276368876080691,0.010893371757925041,0.14440965854510524,0.7829399179110994,7.757383634617071,195.12217273600572,0.04068989607894524,0.02737577504148092,1.0610174418604652,1.632296511627907,1.7875995419309372,1.2163204721634955,5.508544749823827,474.287878787879,0.03164816772374923,0.05301444679351608,,,,,,,,,,,,,,,,
1,"Alcantara, Sandy",645261,1.4651521640263776,0.564832865913742,1.1997695747745016,0.830215455165618,14.342865534753287,156.80235731069524,0.050184188584855516,0.0846606154779046,0.6019700743903886,0.20926592445732295,0.42567078440343653,0.032966634470370904,6.702321522376437,36.53142527917589,0.055131242268652514,0.14086116618372202,0.5949693976909167,1.0223382946167756,1.6572750034775352,0.03996731116984281,8.096828487967741,390.2792112950342,0.013862498261232759,0.05180692724996483,0.92976220511259,1.1209365348645004,1.75587324372526,0.2948254962518306,13.895078805805682,71.2220917250279,0.09916800788783009,0.09480505169138898,,,,,,,,
2,"Alexander, Tyler",641302,1.6570954356846472,0.8581742738589212,0.8381742738589212,1.6370954356846472,15.704149377593367,30.46638655462175,0.27962655601659736,0.19203319502074656,0.32621794871794874,0.162051282051282,0.18205128205128202,0.3062179487179487,7.352564102564102,128.0961538461538,0.1874358974358976,0.10621794871794865,0.9155481727574751,1.3801661129568106,1.3601661129568106,0.8955481727574751,8.859800664451825,756.544850498339,0.22491694352159475,0.14445182724252437,1.383208092485549,1.479421965317919,1.459421965317919,1.363208092485549,15.4393063583815,107.32173913043471,0.2391907514450866,0.15705202312138677,0.9728571428571429,0.03147899159663864,0.05147899159663866,0.9528571428571428,11.319495798319323,115.59159663865557,0.3118823529411763,0.23858823529411755
3,"Allard, Kolby",663465,2.1600830789478493,1.398703410898057,1.0264126619993785,1.787792330049171,15.611079477946134,224.61776585124585,0.08456097939934537,0.16255821924068226,,,,,,,,,1.578158055562629,1.915036668279392,1.5427459193807136,1.2058673066639505,7.69944742940082,290.0305823635763,0.23091594306231045,0.0407276361691844,2.113215859030837,1.850715859030837,1.4784251101321586,1.7409251101321588,16.580011013215852,302.3942731277532,0.09512114537444916,0.10100220264317272,1.2429801026457683,0.5440410063785778,0.1717502574798993,0.8706893537470899,10.428070934630398,300.81750147420985,0.13325965225067726,0.12029002189661053
4,"Alvarado, José",621237,1.959160173160173,1.3503722943722944,0.7378008658008658,1.3465887445887446,11.147272727272721,317.86926406926386,0.31619047619047636,0.32445021645021654,,,,,,,,,,,,,,,,,1.7464531775535495,1.9023639582226943,1.2897925296512658,1.1338817489821207,12.193853779429972,373.5245530182333,0.21873074880509835,0.15222198619224692,1.1037983193277312,0.5737394957983194,0.03883193277310926,0.4912268907563025,6.9347058823529295,187.9630252100842,0.12126890756302533,0.09480672268907586
5,"Alzolay, Adbert",640470,1.421053950666139,0.6303033900540825,1.279827199577892,0.7715301411423295,14.009800817834062,353.73328056984565,0.06571692388866923,0.01673657828782371,0.2769258512133993,0.6288899076960695,0.020633901827740053,0.37259795831041015,6.163053976404441,38.40800587587228,0.005034537563420871,0.05038633168286477,0.8068944099378882,1.146583850931677,1.7961076604554864,0.1573706004140787,5.55952380952381,943.6821946169773,0.08020703933747408,0.054316770186335184,1.0252516233766233,1.2348430735930735,1.8843668831168832,0.37572781385281384,13.772591991341997,439.68425324675354,0.0963879870129869,0.023444264069264698,0.5893377976190477,0.3091815476190476,0.34034226190476186,0.060186011904761805,10.201711309523816,284.17857142857156,0.026469494047619113,0.01461681547618987
6,"Anderson, Brett",474463,2.135002820078962,1.633891708967851,1.0943485617597293,1.5954596728708403,12.611223914269601,430.52168746286407,0.1335589396503103,0.17975183305132525,0.5786833756345178,0.7000226613488034,0.16047951414068162,0.03914022842639597,5.683049311095004,3.9600156993574274,0.024759336475707272,0.32711294416243586,1.6514110888128124,2.1841501069006677,1.6446069596925459,1.1118679416046906,6.196236834166243,897.3318976730743,0.09349532391558113,0.05166397775416787,1.8304113168109883,2.237087787399224,1.6975446401911019,1.2908681696028665,13.114099731263067,622.353897589009,0.01893475664377431,0.1467305912212602,1.8263307333580951,0.9803957740085015,0.4408526268003797,1.2867875861499731,9.723148033510796,292.44476438594097,0.027687672815814413,0.2984239197721923
7,"Anderson, Ian",666120,1.9829091198303286,0.08280180275715793,0.5282851537645812,1.3718221633085896,13.920627783669147,149.78506283967386,0.08566903499469758,0.010873488865324354,,,,,,,,,1.5397786676837022,0.3117710399186372,0.9228579964403762,0.928691711161963,7.406851004322405,249.29894017748848,0.08733778286295468,0.006145181795067067,1.9377318840579707,0.4589347826086958,1.070021739130435,1.3266449275362318,13.468985507246373,185.17536231884037,0.06734057971014495,0.06138405797101498,,,,,,,,
8,"Anderson, Tyler",542881,1.9457628865979384,1.1817113402061856,1.2498363402061856,2.013887886597938,16.282255154639188,153.31875644994852,0.21227319587628868,0.012686855670102304,0.7616666666666667,0.16083333333333338,0.22895833333333332,0.8297916666666667,5.702083333333334,14.416666666666515,0.8945833333333333,0.9627083333333335,1.561770670826833,1.5039703588143527,1.5720953588143527,1.629895670826833,6.620934087363494,608.8531250000001,0.03144695787831475,0.04199005460218341,1.0087174721189593,1.9469330855018587,2.0150580855018587,1.0768424721189591,14.642170074349451,183.41031598513018,0.7030576208178436,0.9120562267657988,1.254662261380323,0.25156387665198243,0.31968887665198237,1.322787261380323,10.930203744493397,44.65510279001455,0.18125183553597646,0.2440244126284865
9,"Arrieta, Jake",453562,,,,,,,,,1.4123759573610428,1.1337735477224884,0.7270442961436825,0.4484418865051283,7.940423702243933,412.95606216688293,0.09443955748645161,0.12406073364088321,0.9987263731085396,0.49697785224357294,2.357795696109744,0.8620914707576313,6.652062935232209,902.7533640504737,0.05035708675846884,0.07819597884706031,1.589817156941975,0.4631284952319378,2.323946339098109,0.2710006869241959,11.032572733150147,606.1446242755796,0.1282681428802328,0.02168874252464814,,,,,,,,
