,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_SI_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SI_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SI_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SI_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_SI_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_SI_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SI_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SI_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SI_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SI_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff
0,"Alcala, Jorge",660896,0.44286772486772485,1.5969206349206349,0.5490793650793651,2.5888677248677245,1.3042328042327966,181.0857142857144,0.11279365079365045,0.0664232804232805,,,,,,,,,0.6754594594594594,0.6885945945945946,1.4574054054054053,1.4705405405405405,7.0972972972973025,198.91475409836085,0.10843243243243261,0.0028108108108106933,0.20394444444444437,2.415611111111111,0.26961111111111125,1.9420555555555556,6.50833333333334,121.13333333333367,0.22716666666666674,0.2140000000000004,,,,,,,,
1,"Alcantara, Sandy",645261,0.5904872769506916,1.4814639425615035,0.6190122479146868,2.690963467426882,0.6502745222257289,52.93841727378276,0.0714552317601096,0.00509449899693859,1.0198325573797271,0.17398350077595348,1.9264926897002368,1.080643633096463,14.175749407824895,31.665931552724032,0.18835007759536104,0.05134852568814807,0.4918214433967858,0.47421870367075836,1.6262574868054318,1.6086547470794046,8.885726146000124,26.80356401589279,0.030637490363517816,0.03135889224930288,0.34634199134199123,2.056194932518462,0.044281257957728304,1.754134199134199,6.119811560988026,389.9420040743569,0.1534638400814874,0.07595174433409735,,,,,,,,
2,"Alexander, Tyler",641302,0.17826849170834436,0.4135635693603579,0.5270808107396683,0.06475125032903395,0.05583048170571203,47.99389920424392,0.08059647275598847,0.016057383521978608,1.126655172413793,1.529155172413793,1.6426724137931035,1.2401724137931034,8.877586206896552,186.1362068965518,0.09477586206896538,0.10653448275862054,1.125092672413793,1.475327047413793,1.5888442887931034,1.2386099137931035,8.00961745689655,211.3315193965518,0.15438523706896579,0.030675107758620257,0.5664797338173018,0.031765880217786036,0.08175136116152437,0.6799969751966122,6.154779189352695,618.0828196521209,0.07280217785843934,0.02719237749546277,0.5078369905956112,1.3608369905956113,1.4743542319749217,0.6213542319749216,4.694858934169275,161.6680250783702,0.019184952978056113,0.06960188087774277
3,"Almonte, Yency",622075,0.2056287878787879,1.4055075757575757,0.8491590909090909,2.4602954545454545,0.01867424242423965,137.97840909090905,0.25428787878787884,0.03764393939393962,,,,,,,,,0.8281166666666666,0.3382166666666666,1.91645,1.42655,10.38866666666668,332.0899999999999,0.22738333333333327,0.07011666666666727,0.2883030303030302,1.9039393939393938,0.3507272727272728,1.9663636363636363,6.8630303030303,195.0363636363636,0.00696969696969707,0.10187878787878724,,,,,,,,
4,"Alzolay, Adbert",640470,0.39898360655737686,1.7179016393442623,0.5550983606557376,2.6719836065573768,0.41155737704917783,97.7428278688526,0.04344877049180318,0.0031004098360654098,1.1104375,0.004031250000000042,2.26896875,1.1625625,14.04249999999999,572.1372663551401,0.00868749999999996,0.06899999999999995,0.7473846153846153,0.23276923076923073,2.040230769230769,1.5256153846153846,9.716538461538448,530.7897727272725,0.010567307692307626,0.018759615384615458,0.1800645161290323,2.185870967741936,0.08712903225806423,2.0929354838709675,9.743709677419346,607.0987903225807,0.2123911290322582,0.1256572580645159,,,,,,,,
5,"Anderson, Brett",474463,0.3958872950819673,0.19161270491803273,0.4997766393442623,0.08772336065573771,0.4885655737705008,184.11168032786895,0.27872950819672115,0.041413934426229204,2.0083452998547418,1.4974592239053746,1.805623158331604,2.3165092342809714,13.625200249014313,525.3909524797675,0.13205229300684773,0.1561651794978216,1.4131111988939362,1.1413039699782737,1.4494679044045033,1.721275133320166,7.484175390084928,503.1455658700377,0.13044637566660078,0.18474224767924063,0.14529326047358837,0.2342622950819674,0.0739016393442622,0.45345719489981795,6.991156648451735,326.1508196721311,0.07227049180327882,0.09461384335154843,0.014756677104439175,0.8061421993000553,1.1143061337262847,0.2934072573217904,2.4385411678025406,245.2514275188803,0.07948793516301333,0.11038865352735261
6,"Anderson, Chase",502624,0.20723658694246905,1.7801842275371689,0.5264824391294979,2.5139032536091355,0.33377504848093054,42.66720534367596,0.04028765352294772,0.006874595992242938,2.499476190476191,0.7278571428571429,1.5788095238095239,0.19280952380952399,14.930952380952377,42.4809523809522,0.19471428571428584,0.019857142857143018,,,,,,,,,0.14891223155929056,2.6193697478991598,0.31270308123249313,2.157754435107376,9.59920634920634,112.88842203548074,0.028576097105508902,0.042049486461251284,0.6445965103598691,0.864443838604144,1.4422228280625227,1.6620701563067977,4.876390403489637,311.42783882783897,0.20098691384950929,0.0429171210468926
7,"Anderson, Ian",666120,0.018824626865671545,1.9438246268656716,0.49992537313432833,2.4249253731343283,0.2632462686567152,23.04039923954383,0.0055783582089554695,0.0033955223880601793,2.08438025210084,1.4263970588235293,1.0173529411764706,0.35936974789915965,13.70388655462186,75.38340336134434,0.15492647058823517,0.0060504201680666725,,,,,,,,,0.5248863636363634,2.40125,0.04249999999999998,1.9188636363636364,6.396590909090918,275.0560344827586,0.1619318181818179,0.000795454545453822,,,,,,,,
8,"Anderson, Tyler",542881,0.4438525749858515,0.5089162422184494,0.5151004527447651,0.43766836445953583,0.8218307866440284,32.10412517780924,0.6338780418788905,0.37190152801358156,2.19983918128655,1.3965058479532164,1.402690058479532,2.2060233918128658,17.572076023391816,6.497076023391855,0.615643274853801,0.486023391812866,,,,,,,,,0.08790685045948199,0.21695029239766084,0.22313450292397652,0.08172263993316631,8.574456975772762,339.8247877758913,0.4969607351712615,0.3588805346700079,0.3707126559172499,1.4237184362640707,1.4299026467903864,0.37689686644356557,4.495550654091872,87.59309400669326,0.24009735320961356,0.1337176756921199
9,"Andriese, Matt",542882,0.6816703296703297,1.3797655677655678,0.6642344322344322,2.7256703296703297,1.205787545787544,176.30117820323994,0.12436630036630048,0.1221025641025637,1.8144112554112555,0.25971428571428573,1.7842857142857143,0.22958874458874456,10.68038961038961,558.3766233766232,0.21645021645021645,0.32512121212121237,,,,,,,,,0.6108424908424909,1.0865860805860805,0.9574139194139195,1.433157509157509,4.73164835164836,7.604910714285779,0.015032967032967193,0.1026666666666669,0.5002020905923346,0.5399581881533101,1.5040418118466898,1.5437979094076655,4.909547038327517,353.82229965156785,0.0866202090592334,0.11019512195121983
