,player_name,mlbAM_ID,FF_pfx_z_diff,FF_pfx_x_FC_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_FC_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_FC_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FC_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FC_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FC_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FC_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FC_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FC_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FC_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff
44,"Kikuchi, Yusei",579328,0.7568509433962265,0.2268157232704402,0.6375238993710692,1.621190566037736,2.902220125786158,83.92138364779885,0.30395974842767304,0.1616616352201259,,,,,,,,,0.877712573664141,0.9047204476798891,0.04038082503837963,0.013372951022631613,8.779084336156103,90.74003367503565,0.32753875105234487,0.12867528351408897,0.19411572327044035,0.12828427672955967,0.9926238993710691,0.6702238993710691,5.31144654088051,833.798934668207,0.40989308176100625,0.18639496855345872,,,,,,,,
45,"Lakins Sr., Travis",664042,0.5962025316455697,1.0151898734177216,0.6642523734177215,0.9471400316455698,2.403922732067514,190.81144514767902,0.19615638185653994,0.06697652953586442,1.653857142857143,0.2893809523809523,0.6403184523809524,1.3029196428571428,10.212038690476206,308.7708333333335,0.14230654761904749,0.0735744047619038,,,,,,,,,0.42900000000000005,1.881,1.5300624999999999,0.07806249999999995,3.2282291666666794,867.9624999999999,0.3420208333333332,0.23947916666666647,,,,,,,,
46,"Lester, Jon",452657,0.3700702811244979,0.31015407784986104,0.6421049582947174,1.3223293172690762,2.0153305529811547,122.58000813543595,0.03743087735557582,0.019898826073524667,1.3037956336624696,1.7941715735120936,0.8419125373675151,0.3515365975178911,13.976186701694004,223.1259851435816,0.006192363438717319,0.1426021378748077,,,,,,,,,0.36431697377746286,0.2100212615166549,1.1622802976612332,0.5879420623671155,4.131068391211912,434.44046775336665,0.007225372076541614,0.007887136782422921,0.3136588855421688,0.22871611445783124,1.1809751506024095,0.6386001506024096,1.0083433734939717,282.6286845495192,0.013578313253012286,0.05745331325301173
47,"Lindblom, Josh",458676,0.6660706171904581,1.1625624763347218,0.7165098447557743,1.1121232487694055,4.412802915562281,117.6107061719049,0.07533226050738362,0.025690552820901935,1.8217140350877195,0.6126859649122808,1.0587385964912281,1.375661403508772,14.60248245614035,302.79885964912273,0.19498070175438587,0.259872807017544,0.7561488609583661,0.6104183032207385,1.056470934799686,0.3100962293794187,9.818293401413996,51.92193637077753,0.04877651217596224,0.05702769049489387,0.052421394395078647,1.6271616541353384,1.1811090225563912,0.3936312371838687,1.9384911141490022,894.2781100478467,0.006772043745728151,0.04531869446343162,,,,,,,,
48,"López, Pablo",641154,0.40420875700352765,1.2481846856194232,0.5303365843536003,1.1220568582693504,3.248283876322887,84.87769246731705,0.015457563809918806,0.025772151898734386,1.2685698091819384,0.5020272057434348,1.2198753070092576,0.5507217079161156,11.81517098054033,222.77970904968834,0.15430757604383194,0.2176308331758925,,,,,,,,,0.43340189873417717,2.088366184448463,1.37051808318264,0.28444620253164554,3.4576763110307382,240.76528028933103,0.037407775768535156,0.009406419529836896,0.09794137241838763,2.00310883653322,1.2852607352673973,0.6199067288474351,2.713851371812737,168.25249833444377,0.03912240324632066,0.027414450972079507
49,"Lorenzen, Michael",547179,0.5715971129823261,1.7151355602850005,0.8932664014064957,1.3934662718608308,4.091033589340242,0.20487050637802895,0.11787221245489032,0.02664060331266782,2.026301401869159,0.413301401869159,0.4085677570093458,1.2044322429906542,10.13906542056074,86.46730769230771,0.11331775700934554,0.024383177570094006,0.9219476282842533,0.07751366602010246,0.7443554928584023,0.10007846940574854,7.709442779051315,20.27073906485657,0.03026714865103175,0.18261682242990585,0.008115264797507682,2.130866216683974,1.308997057805469,0.8299844236760124,6.048139494634825,412.28846153846143,0.04896590515749377,0.0010427483558324013,0.34178193146417435,2.133773624091381,1.3119044652128764,1.163651090342679,3.0453790238836973,84.82867132867113,0.0654288681204569,0.07004984423675964
50,"Lynn, Lance",458681,0.717399680511182,1.1384717480602464,0.725340757644911,1.1305306709265175,4.574755362848023,107.6875600757985,0.15502081241442234,0.10814062072113195,0.8999473783123473,0.21801460520310356,0.19511638521223187,0.48681638789701187,5.4790345531183675,9.970574811394272,0.08598383762450634,0.06751120895642604,,,,,,,,,0.1834139662254679,1.2858717480602464,0.872740757644911,0.5965449566408033,4.4185303514376955,754.9075764491099,0.07413509812870789,0.043245093564582504,0.013215553527055057,1.6940860337745323,1.2809550433591967,0.42634654394239047,2.5501204422130854,271.5266240681576,0.07719065368426348,0.03288795070743955
51,"Maeda, Kenta",628317,0.6336433172302737,1.2961392914653787,0.765768921095008,1.1640136876006442,4.412218196457317,178.12137681159447,0.07629830917874436,0.0020974235104667116,1.3596623093681919,0.08260348583877997,0.44776688453159047,0.8292919389978215,8.761982570806097,142.13725490196066,0.19836601307189472,0.27724400871459665,0.10297459763428363,0.375461508629048,0.15490886174132246,0.4273957727360868,4.314708163661038,55.551483420593286,0.013766724840023503,0.006101415551676759,0.4648699218249392,1.690752274766116,1.1603819043957453,0.06550044854543124,2.774266307830331,960.5361305361307,0.005148019992310626,0.09570421632705362,0.1022116402116402,1.9643597883597885,1.433989417989418,0.6325820105820106,3.5532275132275117,242.47619047619082,0.02436507936507981,0.0032433862433869365
52,"Manaea, Sean",640455,,,,,,,,,,,,,,,,,0.5740981432360742,1.0287533156498672,0.15452254641909813,0.3001326259946949,7.003912466843516,65.13645484949825,0.025013262599469677,0.051923076923076295,0.3361874370171313,0.08573396036278136,0.9599647295935505,0.5380433322136379,1.9225730601276467,950.8656365468594,0.20007725898555595,0.3324907625125961,0.3603052503052504,0.5324140938426652,1.4066448630734345,1.2345360195360195,5.929809872667022,173.8091749520322,0.0486202686202688,0.007351299494156471
53,"Martinez, Carlos",593372,0.4982236842105263,1.2540131578947369,0.5540131578947369,1.1982236842105263,1.7644736842105146,109.32236842105249,0.004802631578947336,0.08611842105263179,1.049642857142857,0.29607142857142854,0.9960714285714285,0.34964285714285714,11.682142857142864,203.21428571428578,0.22464285714285692,0.33285714285714363,0.46596774193548385,0.42427419354838714,1.124274193548387,0.23403225806451614,9.00322580645161,32.3709677419356,0.19814516129032245,0.038467741935483524,0.6230263157894737,1.890078947368421,1.190078947368421,0.07697368421052632,5.8944736842105385,376.3947368421052,0.13044736842105253,0.03200000000000003,0.16635714285714287,1.8972142857142857,1.1972142857142858,0.5336428571428571,0.029285714285720132,238.51428571428573,0.22121428571428559,0.034857142857143586
