mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
605130,2020,"Barlow, Scott",1.426932192,-0.330618828,1.141770902,0.615780118,11.33220869,79.76314848,0.188196182,0.146171824,0.678021584,1.421807476,0.610655402,-1.489173658,5.439075978,83.04368913,0.296847847,0.210540392,,,,,,,,,1.309585253,-0.820414747,1.63156682,0.49843318,9.466052227,30.40930233,0.117788018,0.080967742,,,,,,,,,41.2,0.302,1.9
642545,2020,"Barria, Jaime",0.919300452,-0.861018019,0.791317165,0.989001307,8.133561979,67.97998997,0.128426697,0.033152322,,,,,,,,,0.470745653,-1.22166814,1.151967286,0.540446508,0.417506631,735.1026343,0.308330386,0.246924551,0.712697822,-1.563753791,1.494052936,0.782398677,8.246650124,24.6888412,0.057615109,0.034054315,,,,,,,,,45.8,0.204,3.3
542914,2020,"Bass, Anthony",1.259,-0.632666667,1.0838,0.807866667,9.844666667,229.9733333,0.325866667,0.123466667,,,,,,,,,1.088202899,-0.607884058,1.059017391,0.637069565,0.590318841,834.3573913,0.158982609,0.079408696,1.204406504,-1.055642276,1.50677561,0.753273171,8.705398374,238.7936585,0.161614634,0.083629268,,,,,,,,,39.0,0.193,0.4
605135,2020,"Bassitt, Chris",1.378661844,-0.499312839,1.733955696,0.144018987,18.16383363,78.3340868,0.100958409,0.046677215,1.056789727,1.160738363,0.073904494,-2.291432584,5.086998395,53.73051948,0.548980738,0.414466292,0.938792342,-1.298630339,2.533273196,-0.295850515,8.45802651,288.7740602,0.208888071,0.206365979,1.123652552,-1.162663237,2.397306094,-0.110990305,17.51685793,126.0094509,0.177580135,0.124979224,0.813997317,0.27648558,0.958157277,-0.42064554,12.71368209,54.90828303,0.083772636,0.081443662,1.8,0.229,2.5
545333,2020,"Bauer, Trevor",1.890562867,-0.556737857,2.28090002,0.166400705,12.892453,169.686036,0.185850274,0.121350372,1.397501994,0.979055383,0.745106779,-3.121664156,0.927198346,16.39778467,0.345298183,0.440547925,1.351432432,-0.571067568,2.29522973,-0.37272973,4.363648649,1218.352703,0.170216216,0.119864865,1.493932432,-1.081067568,2.80522973,-0.23022973,13.46364865,169.1027027,0.065216216,0.105135135,0.157824837,0.720989394,1.003172768,-1.566337325,4.295821644,38.58371536,0.039034782,0.10553997,15.9,0.146,4.7
669456,2020,"Bieber, Shane",1.861778846,-0.39954594,0.852462607,1.408862179,9.594978632,194.7606838,0.062729701,0.056559829,0.853558761,1.093025855,0.640109188,-1.306475427,0.858619658,198.9010256,0.038630556,0.055052137,0.736045635,-0.983001984,1.435918651,0.283128968,4.218611111,886.1952381,0.023521825,0.001563492,,,,,,,,,1.092586451,0.49988237,0.046965703,0.639669785,4.734325397,22.49659864,0.027365363,0.014597506,11.6,0.283,0.8
656232,2020,"Bielak, Brandon",1.277481407,-0.77858639,1.386795345,0.669272451,9.778289906,90.34783709,0.142009107,0.104830256,1.376125373,0.470874627,0.137334328,-1.984334328,3.75838806,6.820298507,0.193632836,0.163826866,0.471420781,-1.426944604,2.035153559,-0.136788175,2.99011194,560.040284,0.081855626,0.08277698,,,,,,,,,0.495824627,0.243324627,0.364884328,-0.112384328,5.49636194,117.3027985,0.130182836,0.073626866,11.2,0.358,0.1
571510,2020,"Boyd, Matthew",1.469691772,1.222548915,1.214825337,1.461968194,12.39640847,19.6621168,0.239974538,0.382589118,0.924474556,-0.78854863,0.796272207,-0.932198133,5.207919301,182.364047,0.562890696,0.656487504,0.847447937,1.617554889,1.609831312,0.83972436,0.239641755,441.9225875,0.172021216,0.273567454,1.18833646,1.627951845,1.620228268,1.180612883,11.20171982,68.14165103,0.179571607,0.280922452,,,,,,,,,22.7,0.366,-4.2
518489,2020,"Brasier, Ryan",1.269818103,-0.719979468,1.144050896,0.845746674,10.06822152,173.045749,0.357577501,0.047327646,,,,,,,,,0.371880952,-1.278119048,1.702190476,-0.052190476,1.261666667,897.852381,0.131595238,0.222166667,0.963160714,-1.396214286,1.820285714,0.539089286,8.994107143,146.2125,0.468946429,0.168714286,,,,,,,,,33.0,0.276,1.6
643230,2020,"Brault, Steven",1.400435714,0.933512637,1.281667399,1.748590476,9.184247253,225.8956638,0.280234982,0.067535714,0.263016917,-0.878806391,0.530651629,0.085137845,9.103477444,68.66656161,0.108330201,0.070798872,0.460135162,1.216157261,1.564312023,0.808289924,2.024437648,738.8343979,0.007178703,0.076364444,0.811809299,1.348224394,1.696379155,1.159964061,8.241408356,413.2259011,0.204926999,0.127988544,,,,,,,,,22.5,0.37,0.3
605155,2020,"Brewer, Colten",0.425619048,-1.00152381,0.909238095,0.517904762,4.903809524,357.152381,0.075238095,0.036095238,1.731265634,0.411023523,0.503309237,-1.63897992,8.247911647,222.3586449,0.16331899,0.084851406,0.112047619,-1.277952381,1.185666667,0.204333333,3.453333333,568.5809524,0.34047619,0.039666667,0.329547619,-1.507952381,1.415666667,0.421833333,5.621666667,213.5809524,0.03202381,0.107166667,0.395335907,-0.337592021,0.245306306,0.487621622,4.718288288,153.5809524,0.119568855,0.016648649,20.8,0.381,1.5
664141,2020,"Brubaker, JT",0.994015915,-0.876501326,0.802001326,1.068515915,5.901432361,384.3156499,0.012149867,0.06529443,0.855937063,0.474608392,0.549108392,-0.781437063,6.917062937,223.1972028,0.141933566,0.141300699,0.418725275,-1.305846154,1.231346154,0.493225275,0.325274725,875.7989011,0.175313187,0.146010989,0.583082924,-1.531952537,1.457452537,0.657582924,6.265690125,335.2569558,0.025551282,0.01329569,,,,,,,,,32.3,0.289,1.3
621111,2020,"Buehler, Walker",1.735963974,-0.304593301,1.32777512,0.712782156,9.367647059,402.6725303,0.164774135,0.155420771,0.983825758,1.117528409,0.094346591,-2.007007576,5.505208333,93.76609848,0.128219697,0.106268939,,,,,,,,,1.375821678,-1.018216783,2.041398601,0.35263986,9.719230769,497.9125874,0.165594406,0.081888112,0.985090909,0.589679144,0.433502674,-0.038090909,5.266470588,120.4818182,0.018569519,0.013508021,7.3,0.438,-0.6
