"mlbAM_ID","Year","player_name","FF_pfx_z_diff","FF_pfx_x_FC_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_FC_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_FC_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FC_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FC_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FC_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FC_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FC_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FC_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FC_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
642232,2020,"Yarbrough, Ryan",NA,NA,NA,NA,NA,NA,NA,NA,0.397311985,-2.154615355,1.246915355,0.510388015,12.06014982,157.822576,0.100026966,0.159870038,NA,NA,NA,NA,NA,NA,NA,NA,0.157273333,0.706286667,1.613986667,0.750426667,4.36866667,171.84012,0.39848,0.416606667,0.306622337,0.503787286,1.411487286,1.214322337,4.36828178,208.263125,0.475672165,0.648288316,36,-1,82,0.341
641302,2021,"Alexander, Tyler",0.684238293,-0.114682869,0.889653266,1.688574428,4.38465358000001,146.057984,0.0322557969999999,0.0465550400000003,0.972857143,-0.952857143,0.051478992,0.0314789919999999,11.3194958,115.591597,0.311882353,0.238588235,0.646639194,-1.134908425,0.13057229,0.357696941,3.96693169999999,12.5045569999997,0.124446456,0.132370286,0.05730897,0.40730897,1.411645105,0.947027165,2.45969513999999,872.136447,0.0869654089999998,0.0941364079999997,0.410350949,0.506564822,1.510900957,1.414687084,4.11981056,222.913336,0.0726916019999999,0.0815362120000005,36.3,0.5,103,0.291
663465,2021,"Allard, Kolby",0.917102976,0.155723308,0.854662405,1.616042073,5.18300854,76.1997350000001,0.048698673,0.0422681980000003,1.242980103,-0.870689354,0.171750257,-0.544041006,10.42807093,300.817501,0.133259652,0.120290022,NA,NA,NA,NA,NA,NA,NA,NA,0.335177953,0.672056565,1.370995662,1.03411705,2.7286235,590.848083,0.0976562909999998,0.079562385,0.870235756,0.607735756,1.306674853,1.569174853,6.15194008,1.57677199999989,0.0381385070000002,0.0192878189999996,24.8,-1,94,0.38
542881,2021,"Anderson, Tyler",0.691100626,-0.072950921,0.930147463,1.69419901,5.35205141,197.973859,0.393525032,0.231337557000001,1.254662261,-1.322787261,0.319688877,-0.251563877,10.93020374,44.655103,0.181251836,0.244024413,0.492995594,-1.093828928,0.090730544,0.51010279,5.22812041,30.2384360000001,0.713331497,0.718683919999999,0.30710841,0.249308098,1.252406482,1.310206794,4.30926964999999,653.508228,0.212698794,0.202034358,0.245944789,0.692270825,1.695369209,0.757153595,3.71196633000001,228.065419,0.521805785,0.668031814,26.2,0.3,100,0.281
605135,2021,"Bassitt, Chris",0.423693013,-1.430054263,0.705589147,1.148158129,4.41036885,51.6038309999999,0.085653443,0.0585602170000001,1.915422229,0.341785564,1.06625068,-1.190957113,17.11559951,106.425581,0.567946542,0.455041982,0.723782154,0.49727907,1.221744186,0.000682962,11.81433792,109.288846,0.07222971,0.154091599,0.144581012,-2.282070724,1.557605608,0.579884104,3.50851277,264.107341,0.0942639489999999,0.0674926789999998,0.0590084819999999,-2.159932695,1.435467579,0.783473598,3.92461286,107.022471,0.151837757,0.0778891929999998,18.1,0.5,98,0.372
545333,2021,"Bauer, Trevor",1.638465557,-0.865873803,1.248334943,1.256004417,8.54826724,87.8297189999998,0.0848645569999999,0.0326407940000006,1.644423316,0.736076684,0.353615544,-2.026884456,5.67439896,141.75466,0.256004404,0.306590933000001,0.235270304,1.390392347,1.007931207,-0.617731444,4.46531462,90.980258,0.112391379,0.115891596999999,0.565200088,-1.418842465,1.801303605,0.182738948,2.79923934,1041.184229,0.0427009149999999,0.179088854,1.210166004,-1.261581568,1.644042708,0.827704864,9.09054279,317.502244,0.0830107149999999,0.111375571999999,21.6,-0.7,104,0.29
621111,2021,"Buehler, Walker",0.807320228,-0.947990264,0.749986388,1.005324104,3.78691881,144.972544,0.184602028,0.172128338999999,1.926079867,0.198198979,0.396202855,-1.728075991,11.42658579,243.660815,0.275481328,0.239670169999999,0.627240471,0.489234183,0.687238059,-0.429236595,6.70203443999999,181.338458,0.07173454,0.0014481299999999,0.247017686,-1.778805765,1.580801889,-0.0490138099999999,0.0915421699999967,1095.068651,0.211752657,0.0830351920000005,0.429654641,-1.802653051,1.604649175,0.627658517,3.75682767000001,275.871447,0.28857583,0.190495428,16.4,1.8,118,0.288
518516,2021,"Bumgarner, Madison",0.606753456,0.0329985149999999,0.948883865,1.522638806,4.43608082999999,93.2065979999998,0.109189262,0.011721574,0.906034108,-1.522484412,0.606599062,0.0098512419999999,8.19053501,56.4228080000003,0.0202307460000001,0.0204890889999997,NA,NA,NA,NA,NA,NA,NA,NA,0.083300644,0.388989859,1.304875209,0.832584706,2.19348468,972.508158,0.124727609,0.0559937379999997,0.30377621,0.494181615,1.410066965,1.21966156,3.81615596,362.405819,0.281696506,0.0825436399999999,34.2,0.1,105,0.317
650644,2021,"Civale, Aaron",0.938937305,-0.79150662,0.74100662,0.989437305,3.70330218000001,167.102375,0.0090737930000001,0.025265966,1.814307796,0.258724462,0.309224462,-1.763807796,10.68059139,328.43079,0.101870296,0.0184583329999998,0.669135279,0.214917584,0.265417584,-0.618635279,4.29524963,230.286468,0.0301171989999999,0.0380218430000001,0.0115037879999999,-1.330897728,1.280397728,0.038996212,2.14075756999999,847.463009,0.162880681,0.169314394000001,0.558258333,-1.571091667,1.520591667,0.608758333,4.10216667,175.995833,0.155945833,0.139641667,25.1,2.9,111,0.286
517008,2021,"Colomé, Alex",0.895276429,-0.808077418,0.397832888,1.305520959,4.266237,47.518333,0.215052133,0.0485067219999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,-0.4,108,0.277
