mlbAM_ID,Year,index,player_name,Stuff,FF_pfx_z_diff,FF_pfx_x_SI_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SI_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SI_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SI_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_SI_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_SI_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SI_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SI_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SI_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SI_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
645261,2020,0,"Alcantara, Sandy",108.0,0.590487277,-1.481463942,0.6190122479999999,2.690963467,0.6502745200000106,52.938416999999845,0.0714552319999999,0.0050944990000001,1.019832557,-0.1739835,1.92649269,1.080643633,14.175749409999996,31.665931999999884,0.1883500769999999,0.0513485250000007,0.4918214430000001,-0.474218703,1.626257487,1.608654747,8.885726139999989,26.80356400000028,0.0306374899999997,0.0313588919999991,0.346341991,-2.0561949320000004,0.0442812579999998,1.754134199,6.119811559999988,389.942004,0.1534638399999996,0.0759517440000001,,,,,,,,,34.9,0.334,3.2
641302,2020,1,"Alexander, Tyler",75.0,0.1782684919999999,-0.413563569,0.5270808109999999,0.06475125,0.0558304799999973,47.993899000000056,0.0805964729999999,0.0160573839999997,1.126655172,-1.529155172,1.642672414,-1.240172414,8.877586210000004,186.136207,0.0947758620000001,0.1065344829999999,1.125092672,-1.475327047,1.588844289,-1.238609914,8.009617460000001,211.33152000000015,0.154385237,0.0306751079999996,0.566479733,0.0317658809999998,0.081751361,-0.6799969749999999,6.154779189999999,618.0828200000001,0.0728021779999998,0.0271923779999996,0.50783699,-1.36083699,1.474354232,-0.621354232,4.694858940000003,161.66802499999994,0.0191849529999998,0.0696018810000005,23.4,0.395,-0.1
622075,2020,2,"Almonte, Yency",99.0,0.205628788,-1.405507576,0.849159091,2.460295455,0.0186742400000099,137.97840900000006,0.2542878779999999,0.0376439400000006,,,,,,,,,0.828116667,-0.3382166669999999,1.91645,1.42655,10.388666669999992,332.0899999999999,0.2273833329999999,0.0701166670000006,0.2883030309999999,-1.903939394,0.3507272729999999,1.966363636,6.863030309999999,195.03636400000005,0.0069696969999999,0.1018787879999996,,,,,,,,,3.4,0.286,2.7
640470,2020,3,"Alzolay, Adbert",88.0,0.3989836069999999,-1.717901639,0.5550983609999999,2.671983607,0.4115573800000049,97.74282799999992,0.0434487699999999,0.00310041,1.1104375,-0.00403125,2.26896875,1.1625625,14.042500000000004,572.1372660000002,0.0086874999999999,0.0689999999999999,0.747384615,-0.232769231,2.040230769,1.525615385,9.71653846000001,530.789773,0.0105673079999999,0.0187596150000004,0.1800645159999999,-2.185870968,0.087129032,2.092935484,9.74370968000001,607.09879,0.212391129,0.1256572579999995,,,,,,,,,20.7,0.414,-2.7
474463,2020,4,"Anderson, Brett",84.0,0.3958872950000001,-0.1916127049999999,0.4997766389999999,0.0877233610000001,0.4885655700000058,184.11168,0.2787295079999998,0.0414139340000003,2.0083453,-1.497459224,1.805623158,-2.316509234,13.625200250000006,525.3909520000002,0.1320522929999998,0.1561651799999994,1.413111199,-1.14130397,1.449467904,-1.721275133,7.484175390000004,503.14556600000014,0.130446375,0.1847422469999999,0.1452932609999999,0.2342622949999999,0.073901639,-0.4534571949999999,6.9911566499999935,326.15082000000007,0.0722704920000001,0.0946138439999995,0.014756677,-0.806142199,1.114306133,-0.2934072569999999,2.438541169999993,245.25142700000012,0.0794879349999999,0.1103886530000002,40.6,0.376,-0.8
502624,2020,5,"Anderson, Chase",75.0,0.2072365869999999,-1.780184227,0.5264824390000001,2.513903253,0.3337750499999998,42.6672050000002,0.040287653,0.0068745959999994,2.49947619,-0.7278571420000001,1.578809524,-0.1928095239999998,14.930952380000008,42.48095199999989,0.1947142859999999,0.0198571429999994,,,,,,,,,0.1489122309999999,-2.6193697470000004,0.312703081,2.157754435,9.599206350000005,112.888422,0.0285760969999999,0.0420494860000006,0.6445965100000001,-0.8644438380000001,1.442222828,1.662070156,4.876390400000005,311.42783899999995,0.200986914,0.0429171210000003,6.4,0.341,-0.8
666120,2020,6,"Anderson, Ian",64.0,0.018824627,-1.943824627,0.499925373,2.424925373,0.2632462699999962,23.04039899999998,0.0055783579999999,0.0033955219999999,2.084380252,-1.426397059,1.017352941,0.359369748,13.703886550000009,75.38340299999982,0.154926471,0.0060504200000002,,,,,,,,,0.5248863640000001,-2.40125,0.0424999999999999,1.918863636,6.3965909100000005,275.05603399999995,0.161931818,0.0007954549999995,,,,,,,,,1.4,0.266,7.5
542881,2020,7,"Anderson, Tyler",79.0,0.4438525749999999,-0.508916242,0.515100452,0.4376683649999999,0.821830790000007,32.104125000000295,0.6338780420000001,0.3719015279999995,2.199839181,-1.396505848,1.402690058,-2.206023391,17.572076019999997,6.497076000000106,0.615643275,0.4860233909999998,,,,,,,,,0.0879068499999999,-0.2169502929999999,0.2231345029999999,0.0817226399999999,8.574456979999994,339.824787,0.4969607360000001,0.3588805339999998,0.3707126559999999,-1.423718436,1.429902646,-0.3768968659999999,4.495550659999992,87.59309399999984,0.2400973539999999,0.1337176749999997,8.0,0.362,-0.2
542882,2020,8,"Andriese, Matt",74.0,0.681670329,-1.3797655679999998,0.664234432,2.725670329,1.2057875400000029,176.30117800000016,0.1243663009999997,0.1221025640000004,1.814411256,-0.2597142859999999,1.784285714,0.2295887439999999,10.680389610000006,558.3766230000001,0.2164502169999997,0.325121212,,,,,,,,,0.610842491,-1.086586081,0.957413919,1.433157509,4.73164835,7.604910999999902,0.0150329669999997,0.1026666670000002,0.500202091,-0.539958188,1.504041812,1.543797909,4.909547040000007,353.822299,0.0866202089999998,0.1101951220000003,6.4,0.724,-7.2
622088,2020,9,"Antone, Tejay",79.0,,,,,,,,,1.847818947,0.3819705259999999,2.301810526,0.0720210529999999,15.195326319999992,361.282737,0.1316715789999998,0.0388947370000005,1.074698333,-0.373615,1.546225,0.845141667,11.831883329999997,78.62966700000015,0.2573316669999999,0.2705833330000002,0.73424,-2.56424,0.6444000000000001,1.1856,7.13622857,621.7834290000001,0.1676114289999999,0.4255714290000005,,,,,,,,,42.2,0.379,-1.5
