mlbAM_ID,Year,player_name,FF_pfx_z_diff,FF_pfx_x_CU_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_CU_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_CU_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_CU_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_CU_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_CU_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_CU_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_CU_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_CU_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_CU_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
453562,2020,"Arrieta, Jake",1.956603774,0.236603774,1.580754717,0.139245283,10.13333333,402.509434,0.085597484,0.05,1.373763537,1.097728034,0.719630457,-0.443594954,6.981656805,448.7058625,0.105309814,0.118343195,0.678539257,-0.581380097,2.398738588,-1.138819233,5.478225806,957.259434,0.165961656,0.141935484,1.525840616,-0.544843595,2.362202085,-0.291517875,10.22052632,555.7567744,0.10489573,0.024868421,,,,,,,,,7.3,0.315,0.8
605130,2020,"Barlow, Scott",2.104953776,0.347402756,1.752426304,0.005124717,16.77128467,162.8068376,0.108651666,0.064368568,0.678021584,1.489173658,0.610655402,-1.421807476,5.439075978,83.04368913,0.296847847,0.210540392,,,,,,,,,1.987606838,-0.142393162,2.242222222,-0.112222222,14.90512821,113.4529915,0.179059829,0.12957265,,,,,,,,,21.5,0.165,2.5
598264,2020,"Barnes, Matt",2.276781151,-0.044072507,1.220143936,1.100709723,10.93274847,144.0946102,0.007269371,0.092065704,,,,,,,,,1.585855573,-0.511836735,1.687908163,0.409784144,3.781122449,53.85128205,0.07038854,0.16777865,,,,,,,,,,,,,,,,,43.1,0.367,0.2
605135,2020,"Bassitt, Chris",2.435451572,0.557476888,1.660051202,0.217923482,23.25083203,24.60356732,0.44802233,0.367789077,1.056789727,2.291432584,0.073904494,-1.160738363,5.086998395,53.73051948,0.548980738,0.414466292,1.995582069,-0.241840612,2.459368701,-0.221946021,13.5450249,235.0435407,0.340092668,0.208100313,2.18044228,-0.10587351,2.3234016,-0.03708581,22.60385633,72.27893138,0.371400604,0.289487068,1.870787044,1.333275307,0.884252783,-0.346741046,17.80068049,1.177763551,0.465208103,0.33302263,9.4,0.122,1.4
545333,2020,"Bauer, Trevor",3.288064861,0.840764136,1.535793241,0.911507484,13.81965134,153.2882514,0.159447909,0.319197553,1.397501994,3.121664156,0.745106779,-0.979055383,0.927198346,16.39778467,0.345298183,0.440547925,2.748934426,0.826434426,1.550122951,0.372377049,5.290846995,1201.954918,0.175081967,0.32068306,2.891434426,0.316434426,2.060122951,0.514877049,14.39084699,152.704918,0.280081967,0.54568306,1.555326831,2.118491388,0.258065989,-0.821230546,5.22301999,22.18593069,0.306263402,0.335007955,15.7,0.211,1.0
605138,2020,"Benjamin, Wes",2.729799107,1.776934524,1.22264881,2.175513393,12.29136905,219.6852679,0.069583333,0.007998512,,,,,,,,,2.304350304,1.777967325,1.223681611,1.75006459,5.90018997,781.0379939,0.037845745,0.078677812,2.628392857,2.20172619,1.647440476,2.074107143,12.81011905,168.0238095,0.135416667,0.006428571,1.53081044,0.877403846,0.323118132,0.976524725,6.911950549,189.532967,0.104876374,0.087967033,14.4,0.093,2.8
669456,2020,"Bieber, Shane",2.715337607,0.454012821,1.492571795,0.768752991,10.45359829,4.14034188,0.024099145,0.001507692,0.853558761,1.306475427,0.640109188,-1.093025855,0.858619658,198.9010256,0.038630556,0.055052137,1.589604396,-0.129443223,2.076027839,-0.35698022,5.077230769,687.2942125,0.062152381,0.053488645,,,,,,,,,1.946145212,1.35344113,0.593143485,-0.000439403,5.592945055,176.404427,0.065995918,0.040454631,26.3,0.153,3.1
656232,2020,"Bielak, Brandon",2.65360678,0.597538983,1.249461017,0.80660678,13.53667797,97.16813559,0.051623729,0.05899661,1.376125373,1.984334328,0.137334328,-0.470874627,3.75838806,6.820298507,0.193632836,0.163826866,1.847546154,-0.050819231,1.897819231,0.000546154,6.7485,566.8605825,0.275488462,0.246603846,,,,,,,,,1.87195,1.61945,0.22755,0.02495,9.25475,110.4825,0.06345,0.0902,8.4,0.416,-7.9
571510,2020,"Boyd, Matthew",2.394166327,2.14702347,2.011097544,2.258240402,17.60432777,202.0261638,0.322916158,0.273898386,0.924474556,0.932198133,0.796272207,0.78854863,5.207919301,182.364047,0.562890696,0.656487504,1.771922493,2.542029445,2.406103519,1.635996567,4.968277547,624.2866345,0.390869479,0.38292005,2.112811016,2.552426401,2.416500475,1.97688509,16.40963913,250.505698,0.383319088,0.375565052,,,,,,,,,7.5,0.206,-1.3
643230,2020,"Brault, Steven",1.663452632,1.196529555,1.812319028,2.279242105,18.2877247,157.2291022,0.388565182,0.003263158,0.263016917,-0.085137845,0.530651629,0.878806391,9.103477444,68.66656161,0.108330201,0.070798872,0.723152079,1.479174179,2.094963652,1.338941553,11.12791509,670.1678363,0.101151498,0.005565571,1.074826216,1.611241311,2.227030785,1.69061569,17.3448858,344.5593395,0.3132572,0.057189672,,,,,,,,,2.5,0.075,-4.3
