"mlbAM_ID","Year","index","player_name","FF_pfx_z_diff","FF_pfx_x_CH_pfx_z_diff","FF_pfx_x_diff","FF_pfx_z_CH_pfx_x_diff","FF_release_speed_diff","FF_release_spin_rate_diff","FF_release_pos_x_diff","FF_release_pos_z_diff","CU_pfx_z_diff","CU_pfx_x_CH_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_CH_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_CH_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_CH_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_CH_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_CH_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_CH_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_CH_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
608337,2020,85,"Giolito, Lucas",0.480428232,-1.65558154,0.141557824,2.277567596,13.09870902,938.772993,0.0666688039999998,0.0136919320000004,2.299132029,-0.645798696,1.151340668,-0.501992665,3.56033006999999,1082.475491,0.125957621,0.229525265,0.775361079,-0.771394599,1.025744765,1.021778285,4.02919507,684.306031,0.069256532,0.0328539430000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,0.4,102,0.251
543294,2020,101,"Hendricks, Kyle",0.262193379,-1.458633068,0.466090858,2.186917305,7.66141307,93.3518979999999,0.116070071,0.162810424,2.066527351,0.220191399,2.144915325,-0.141803425,7.55363945000001,748.560679,0.0361880110000001,0.0475134199999995,NA,NA,NA,NA,NA,NA,NA,NA,0.161601069,-2.016831839,0.0921079129999999,1.763122857,7.60931728,200.515683,0.03221205,0.123873997,NA,NA,NA,NA,NA,NA,NA,NA,28.1,1.4,94,0.224
572971,2020,120,"Keuchel, Dallas",0.581743555,-0.3078019,0.97410787,-0.0845624150000001,9.78643147999999,537.803145,0.037957937,0.0925101760000002,NA,NA,NA,NA,NA,NA,NA,NA,0.595630183,-1.186265103,1.852571073,-1.261936153,2.73225539000001,600.41137,0.0492714999999999,0.0644018009999998,0.02431247,0.509409244,0.156896726,-0.6419935,8.60390948999999,390.727786,0.0817722679999999,0.0115748679999994,0.121575205,-0.746370923,1.412676893,-0.544730765,6.21319915999999,523.500013,0.0427054120000001,0.082375496,27.9,1.9,99,0.23
641154,2020,131,"López, Pablo",0.837610656,-0.814782787,0.840181499,2.492574942,6.70596019,155.887587,0.0528653399999998,0.0351785709999994,0.83516791,0.935429104,2.59039339,0.819796376,8.35749466999999,463.544989,0.191715352,0.208224414,NA,NA,NA,NA,NA,NA,NA,NA,0.335460526,-1.569706938,0.085257348,1.990424812,6.17152769,72.512782,0.0017146270000001,0.018008032,0.433401899,-0.284446203,1.370518083,2.088366185,3.45767632,240.76528,0.0374077760000002,0.0094064189999993,29.9,0,114,0.23
628317,2020,138,"Maeda, Kenta",1.098513239,-0.831269369,0.394612984,2.324395592,7.18648451,782.414754,0.0814463289999998,0.0978016400000001,0.894792387,0.382266436,1.608148789,0.331089966,5.98771626,1102.673385,0.193217993,0.181539793,0.361895324,0.089408413,1.315290766,1.587777677,1.54044185000001,1016.087614,0.018914745,0.0896028009999998,0.567081562,-1.499489866,0.273607513,1.792963915,6.32749382,718.05994,0.0295130989999998,0.0989476019999999,0.464869922,-0.065500448,1.160381905,1.690752275,2.77426631,960.53613,0.00514802,0.0957042159999996,29.3,2.4,112,0.216
543548,2020,153,"Milone, Tommy",0.866713576,-0.012259934,0.558215816,0.320757694,7.11007499,511.207959,0.117295481,0.0003296649999997,0.96375,-0.987321429,1.533277311,-1.509705882,3.85619747,747.324238,0.120630253,0.0758718490000003,0.23849359,-1.032724359,1.578680241,-0.784449472,0.473472860000001,567.791271,0.0365950220000002,0.0392967569999997,0.840367647,0.229779412,0.31617647,0.294411765,7.13455883,502.988103,0.161617647,0.0459558820000003,NA,NA,NA,NA,NA,NA,NA,NA,39,-2.5,102,0.319
605400,2020,164,"Nola, Aaron",0.950616242,-1.351455187,0.056028889,2.358100318,7.92794813,662.793131,0.150064832,0.111506142,1.049029183,1.05936951,2.466853586,0.358454893,6.31316765,981.145123,0.149531452,0.235243537,NA,NA,NA,NA,NA,NA,NA,NA,0.488874307,-1.648746661,0.241262585,1.896358383,6.86011403,583.307916,0.147397781,0.0990314869999995,NA,NA,NA,NA,NA,NA,NA,NA,27.4,0.5,110,0.246
663978,2020,167,"Paddack, Chris",0.766974738,-1.409507405,0.319322026,2.495804169,10.17019947,386.216742,0.353863891,0.251702461,1.901477224,-0.102040604,1.626788827,-0.172647793,7.02295444999999,309.903488,0.206234867,0.203243205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.079061518,-0.483303942,1.245525489,1.649767913,4.00248302000001,370.130974,0.122619844,0.204352894,31,2.7,107,0.26
527048,2020,170,"Pérez, Martín",0.469309813,0.108476479,0.303703972,0.0571293619999999,8.52400231,345.04169,0.0445541739999999,0.0627602669999998,1.219192699,-1.24073909,1.652919541,-1.63137315,5.93924115,817.438532,0.0673761729999999,0.0257111850000004,NA,NA,NA,NA,NA,NA,NA,NA,0.047021036,0.62718497,0.215004519,-0.365159415,8.2672768,247.446588,0.0050659429999999,0.0982300020000002,0.0930114939999999,-0.72318186,1.135362311,-0.319168957,5.13990982,476.120221,0.134878587,0.147301865,25.8,-0.2,98,0.362
434671,2020,185,"Sánchez, Aníbal",0.869834148,-1.027665852,0.621149177,2.518649177,9.71840374,654.539996,0.245430636,0.144716318,0.711409442,-0.223576108,1.425238921,0.937405587,3.25339113000001,534.897688,0.0375973029999999,0.0566522159999998,0.191242775,0.0137572249999999,1.662572254,1.457572254,3.9449422,804.797688,0.163930636,0.0349855489999999,0.672328654,-1.610528489,0.03828654,2.321143683,9.99007207,585.87561,0.25769687,0.0973556790000005,0.498935796,-0.541332061,1.107482968,2.147750825,7.91235291,691.873581,0.18634135,0.10922662,29.1,2.6,114,0.249
