"mlbAM_ID","Year","player_name","CU_pfx_z_diff","CU_pfx_x_FF_pfx_z_diff","CU_pfx_x_diff","CU_pfx_z_FF_pfx_x_diff","CU_release_speed_diff","CU_release_spin_rate_diff","CU_release_pos_x_diff","CU_release_pos_z_diff","SL_pfx_z_diff","SL_pfx_x_FF_pfx_z_diff","SL_pfx_x_diff","SL_pfx_z_FF_pfx_x_diff","SL_release_speed_diff","SL_release_spin_rate_diff","SL_release_pos_x_diff","SL_release_pos_z_diff","CH_pfx_z_diff","CH_pfx_x_FF_pfx_z_diff","CH_pfx_x_diff","CH_pfx_z_FF_pfx_x_diff","CH_release_speed_diff","CH_release_spin_rate_diff","CH_release_pos_x_diff","CH_release_pos_z_diff","SI_pfx_z_diff","SI_pfx_x_FF_pfx_z_diff","SI_pfx_x_diff","SI_pfx_z_FF_pfx_x_diff","SI_release_speed_diff","SI_release_spin_rate_diff","SI_release_pos_x_diff","SI_release_pos_z_diff","FC_pfx_z_diff","FC_pfx_x_FF_pfx_z_diff","FC_pfx_x_diff","FC_pfx_z_FF_pfx_x_diff","FC_release_speed_diff","FC_release_spin_rate_diff","FC_release_pos_x_diff","FC_release_pos_z_diff","pitch_usage","run_value_per_100","Stuff","est_woba"
518516,2020,"Bumgarner, Madison",1.610067287,-2.371123188,1.442536232,-0.681480331,11.46899586,98.0672880000002,0.0298602479999998,0.0356677009999994,NA,NA,NA,NA,NA,NA,NA,NA,0.753297101,-0.457741545,0.470845411,0.175289855,5.29190820999999,710.437198,0.0606884060000001,0.105350241,0.248297101,-0.428297101,0.500289855,0.680289855,0.180797099999992,24.34058,0.0234782610000001,0.0267391300000001,0.809874024,-1.795566332,0.866979376,0.118712932,4.83118171999999,97.231205,0.0697140470000001,0.0280852839999994,38.9,-0.1,92,0.463
605164,2020,"Bundy, Dylan",2.657798172,-0.909899012,1.08486707,-0.66303209,16.52355889,74.4292619999997,0.0982426659999999,0.0766266159999995,1.669792569,-1.228263158,0.766502924,0.324973513,10.0693292,114.583624,0.193393188,0.150443412,0.886684049,-2.667882205,0.673116123,1.108082033,7.77747593999999,803.471557,0.0459535929999996,0.088391004,0.262067079,-2.653478844,0.658712762,1.732699003,0.675768840000003,75.4124549999997,0.0953519100000002,0.0593997249999995,NA,NA,NA,NA,NA,NA,NA,NA,33.6,1,84,0.3
656288,2020,"Canning, Griffin",1.983585165,-0.849739011,1.356893642,0.223047488,10.61944662,115.176505,0.253793171,0.112721742,1.695162263,-1.539956784,0.666675869,0.51147039,6.20585337,245.558639,0.178710628,0.0550821219999999,0.770722789,-2.751811224,0.545178571,1.435909864,4.83341836,609.137023,0.241862245,0.0550595239999998,NA,NA,NA,NA,NA,NA,NA,NA,0.832954713,-1.463573269,0.743059384,1.37367794,4.10997002000001,15.265324,0.190537819,0.0288325800000004,40.6,-2,93,0.342
471911,2020,"Carrasco, Carlos",1.831212187,-0.473989965,1.518261343,0.161039121,10.24589151,457.982877,0.043525306,0.0258006100000001,1.230167258,-0.941140412,1.051110896,0.76208405,7.69517375999999,307.958247,0.064215187,0.090395129,1.112796271,-1.839958433,0.152292875,0.879455037,6.02220532,1155.114836,0.0154386579999998,0.0459132230000003,0.606544996,-2.559186506,0.566935198,1.385706312,1.35676676999999,115.119249,0.0737073989999999,0.0930569000000005,NA,NA,NA,NA,NA,NA,NA,NA,34.7,1.3,90,0.352
624418,2020,"Castellani, Ryan",1.769198126,-0.224912412,1.693647797,0.149362083,13.07182813,110.382573,0.0124073930000001,0.10882258,0.870239233,-0.771188138,1.147372071,1.048320976,7.53758742000001,186.235545,0.0100666870000001,0.0301540109999995,0.519856021,-2.110985053,0.192424844,1.398704188,6.74908377,697.161206,0.0114714569999998,0.0929724709999995,0.0392790979999999,-2.289279098,0.370718889,1.879281111,3.05100685000001,158.518526,0.142184857,0.0005759159999998,NA,NA,NA,NA,NA,NA,NA,NA,47.8,-1.6,70,0.426
622491,2020,"Castillo, Luis",NA,NA,NA,NA,NA,NA,NA,NA,0.999375942,-1.03221908,0.91605015,0.948893288,10.66270739,303.732977,0.24063914,0.302509425999999,0.949640025,-2.401923262,0.453654032,0.998629205,9.20847413,238.292584,0.168675522,0.4120674,0.67696438,-2.52624273,0.5779735,1.27130485,0.0357057899999944,80.8644400000003,0.0452217149999998,0.143015794,NA,NA,NA,NA,NA,NA,NA,NA,27.1,-0.7,95,0.307
622491,2020,"Castillo, Luis",NA,NA,NA,NA,NA,NA,NA,NA,0.999375942,-1.03221908,0.91605015,0.948893288,10.66270739,303.732977,0.24063914,0.302509425999999,0.949640025,-2.401923262,0.453654032,0.998629205,9.20847413,238.292584,0.168675522,0.4120674,0.67696438,-2.52624273,0.5779735,1.27130485,0.0357057899999944,80.8644400000003,0.0452217149999998,0.143015794,NA,NA,NA,NA,NA,NA,NA,NA,27.1,-0.7,95,0.307
622491,2020,"Castillo, Luis",NA,NA,NA,NA,NA,NA,NA,NA,0.999375942,-1.03221908,0.91605015,0.948893288,10.66270739,303.732977,0.24063914,0.302509425999999,0.949640025,-2.401923262,0.453654032,0.998629205,9.20847413,238.292584,0.168675522,0.4120674,0.67696438,-2.52624273,0.5779735,1.27130485,0.0357057899999944,80.8644400000003,0.0452217149999998,0.143015794,NA,NA,NA,NA,NA,NA,NA,NA,27.1,-0.7,95,0.307
656302,2020,"Cease, Dylan",2.83051985,-0.695272325,0.982261394,-1.152986131,18.4884641,164.117924,0.0398193409999998,0.127507583,1.664247406,-0.730669424,0.946864295,0.0132863129999999,12.44326775,284.929896,0.116910608,0.141698396,0.0901302669999999,-1.83114476,0.153611041,1.587403452,14.59096087,791.322745,0.047199883,0.108466113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,-1.7,97,0.425
664199,2020,"Clarke, Taylor",2.400572635,-1.083005068,0.893307432,-0.424260135,14.43076014,139.61098,0.168592905,0.0951984799999996,1.290753289,-1.153384868,0.822927632,0.685559211,8.01930921,89.8292759999999,0.0434506579999998,0.0022055920000001,0.941067752,-2.727202206,0.750889706,1.035244748,5.48007878,827.282616,0.299669643,0.221548057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,-0.3,99,0.384
