mlbAM_ID,Year,index,player_name,Stuff,FF_pfx_z_diff,FF_pfx_x_SL_pfx_z_diff,FF_pfx_x_diff,FF_pfx_z_SL_pfx_x_diff,FF_release_speed_diff,FF_release_spin_rate_diff,FF_release_pos_x_diff,FF_release_pos_z_diff,CU_pfx_z_diff,CU_pfx_x_SL_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_SL_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_SL_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_SL_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_SL_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_SL_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_SL_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_SL_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
669211,2020,0,"Akin, Keegan",113.0,1.6871752050000002,1.097207463,1.419168248,2.00913599,11.21641366,19.966667000000143,0.2189006959999999,0.2655964580000001,0.560652338,-0.5460369540000001,0.224076169,-0.238691553,3.4837104100000005,236.628205,0.0498039220000001,0.0089668179999993,0.882170385,1.492170385,1.81413117,1.20413117,0.6436105399999974,381.06896499999993,0.0540567960000002,0.043056119,,,,,,,,,,,,,,,,,10.2,0.442,-6.9
660896,2020,1,"Alcala, Jorge",131.0,1.118327184,-0.921461176,0.90832604,1.1314623199999998,8.401530100000002,17.829040000000077,0.2212260830000003,0.0692340910000002,,,,,,,,,0.471515015,-1.740151652,1.727016516,0.484650151,0.5889639700000089,77.78142100000014,0.1187342349999998,0.2111891889999997,0.675459459,-1.470540541,1.4574054049999998,0.688594595,7.097297300000008,198.9147540000004,0.1084324320000003,0.0028108109999998,,,,,,,,,44.7,0.23,3.0
645261,2020,2,"Alcantara, Sandy",119.0,1.08230872,-0.989642499,1.007245239,1.06470598,9.53600066,79.74198100000012,0.0408177420000002,0.0364533909999993,0.528011114,0.317837943,0.3002352029999999,-0.545613854,5.290023270000006,4.862367999999606,0.1577125870000002,0.0827074169999999,0.1454794519999999,-1.564373489,1.581976229,0.1278767119999999,2.7659145800000005,416.7455680000003,0.1228263499999999,0.1073106359999993,0.4918214430000001,-1.608654747,1.626257487,0.474218703,8.885726139999989,26.80356400000028,0.0306374899999997,0.0313588919999991,,,,,,,,,22.1,0.291,0.1
641302,2020,3,"Alexander, Tyler",96.0,1.303361164,0.7115291029999999,1.061763478,1.653595539,7.953786980000004,163.33762100000013,0.0737887640000001,0.0146177239999998,0.0015625,-0.4040625,0.053828125,0.3486718749999999,0.8679687500000028,25.19531300000017,0.0596093749999999,0.0758593750000002,0.558612939,1.156858553,1.5070929279999998,0.908847314,1.854838270000002,829.4143400000003,0.0815830590000001,0.0034827299999999,1.125092672,1.238609914,1.588844289,1.475327047,8.009617460000001,211.33152000000015,0.154385237,0.0306751079999996,0.6172556819999999,-0.235744318,0.1144900569999999,0.967490057,3.314758519999998,49.66349500000024,0.1352002840000001,0.1002769890000001,20.9,0.279,-2.9
622075,2020,4,"Almonte, Yency",103.0,1.033745455,-0.577390909,1.067290909,0.543845455,10.407340910000002,194.11159099999983,0.026904545,0.032472727,,,,,,,,,0.539813636,-1.075822727,1.565722727,0.049913636,3.525636359999993,527.126364,0.2204136359999999,0.1719954550000002,0.828116667,-1.42655,1.91645,0.3382166669999999,10.388666669999992,332.0899999999999,0.2273833329999999,0.0701166670000006,,,,,,,,,44.8,0.216,0.0
640470,2020,5,"Alzolay, Adbert",118.0,1.146368222,-0.970517024,1.485132408,0.6317528379999999,9.304981080000005,433.0469450000001,0.0328814619999999,0.0218600250000005,0.363052885,0.7433533649999999,0.2287379809999999,-0.877668269,4.325961539999994,41.34749300000021,0.0192548079999999,0.0502403849999995,0.567320099,-1.438486353,1.953101737,0.052704715,0.0271712199999996,1137.888563,0.201823821,0.1444168729999999,0.747384615,-1.525615385,2.040230769,0.232769231,9.71653846000001,530.789773,0.0105673079999999,0.0187596150000004,,,,,,,,,6.7,0.091,7.0
474463,2020,6,"Anderson, Brett",111.0,1.808998494,1.221498494,0.949691265,1.537191265,7.97274096000001,319.03388600000017,0.1482831329999998,0.1433283129999996,0.595234101,-0.084348025,0.356155254,-0.86704133,6.141024860000002,22.245386000000053,0.0016059179999998,0.3409074269999994,1.267817938,1.647373494,1.375566265,0.996010709,0.4930187400000108,829.2963860000002,0.2027168670000001,0.2793560909999995,1.413111199,1.721275133,1.449467904,1.14130397,7.484175390000004,503.14556600000014,0.130446375,0.1847422469999999,1.427867876,0.606969,0.335161771,1.156060647,5.045634220000011,257.894139,0.05095844,0.0743535939999997,11.0,0.211,-0.4
622088,2020,7,"Antone, Tejay",112.0,,,,,,,,,0.7731206140000001,1.456668859,0.755585526,-1.474203947,3.363442989999996,282.65306999999984,0.125660088,0.2316885959999997,0.340458333,-1.489541667,2.190625,-0.360625,4.6956547599999965,700.4130960000002,0.0897202379999999,0.1549880960000003,1.074698333,-0.845141667,1.546225,0.373615,11.831883329999997,78.62966700000015,0.2573316669999999,0.2705833330000002,,,,,,,,,40.5,0.246,3.3
453562,2020,8,"Arrieta, Jake",97.0,0.5828402369999999,-1.137159763,0.86112426,0.85887574,3.151676530000003,46.19642900000008,0.1909072969999998,0.1683431950000002,1.373763537,0.4435949539999999,0.7196304570000001,-1.097728034,6.981656799999996,448.70586300000014,0.1053098129999998,0.1183431949999995,0.6952242790000001,-1.955143634,1.679108131,-0.419188776,1.5034309899999982,508.5535709999999,0.0606518419999999,0.0235922889999997,0.152077079,-1.918607131,1.642571628,0.4281125820000001,3.2388695200000086,107.0509109999998,0.2102055429999998,0.1432116159999994,,,,,,,,,23.2,0.267,3.6
453268,2020,9,"Bard, Daniel",117.0,0.835467273,-0.7849872729999999,1.199627273,0.420827273,9.481113640000004,103.20000000000029,0.132279091,0.2947786359999993,,,,,,,,,0.216818824,-1.448583529,1.863223529,-0.631458824,2.107372550000008,689.262745,0.254139608,0.5506086269999999,0.4398553849999999,-1.385144615,1.799784615,0.0252153849999999,9.152923080000008,282.80384600000025,0.2201200000000001,0.438078462,,,,,,,,,30.9,0.281,3.1
