mlbAM_ID,Year,player_name,Stuff,CU_pfx_z_diff,CU_pfx_x_FF_pfx_z_diff,CU_pfx_x_diff,CU_pfx_z_FF_pfx_x_diff,CU_release_speed_diff,CU_release_spin_rate_diff,CU_release_pos_x_diff,CU_release_pos_z_diff,SL_pfx_z_diff,SL_pfx_x_FF_pfx_z_diff,SL_pfx_x_diff,SL_pfx_z_FF_pfx_x_diff,SL_release_speed_diff,SL_release_spin_rate_diff,SL_release_pos_x_diff,SL_release_pos_z_diff,CH_pfx_z_diff,CH_pfx_x_FF_pfx_z_diff,CH_pfx_x_diff,CH_pfx_z_FF_pfx_x_diff,CH_release_speed_diff,CH_release_spin_rate_diff,CH_release_pos_x_diff,CH_release_pos_z_diff,SI_pfx_z_diff,SI_pfx_x_FF_pfx_z_diff,SI_pfx_x_diff,SI_pfx_z_FF_pfx_x_diff,SI_release_speed_diff,SI_release_spin_rate_diff,SI_release_pos_x_diff,SI_release_pos_z_diff,FC_pfx_z_diff,FC_pfx_x_FF_pfx_z_diff,FC_pfx_x_diff,FC_pfx_z_FF_pfx_x_diff,FC_release_speed_diff,FC_release_spin_rate_diff,FC_release_pos_x_diff,FC_release_pos_z_diff,pitch_usage,est_woba,run_value_per_100
669211,2020,"Akin, Keegan",101.0,2.247827543,-2.2332121590000003,1.643244417,-1.657859801,14.70012407,216.66153799999984,0.1690967739999997,0.2745632759999994,1.6871752050000002,-2.00913599,1.419168248,-1.097207463,11.21641366,19.966667000000143,0.2189006959999999,0.2655964580000001,0.8050048200000001,-0.19500482,0.394962922,-0.2150370779999999,10.572803120000003,401.0356320000001,0.1648438999999997,0.3086525770000001,,,,,,,,,,,,,,,,,62.0,0.334,1.1
660896,2020,"Alcala, Jorge",110.0,,,,,,,,,1.118327184,-1.1314623199999998,0.90832604,0.921461176,8.401530100000002,17.829040000000077,0.2212260830000003,0.0692340910000002,0.6468121689999999,-2.858478836,0.818690476,1.392976191,7.812566129999993,59.95238100000006,0.3399603180000001,0.2804232799999999,0.4428677249999999,-2.588867725,0.5490793649999999,1.596920635,1.304232799999994,181.08571400000028,0.112793651,0.0664232800000004,,,,,,,,,45.2,0.404,-0.8
645261,2020,"Alcantara, Sandy",114.0,1.610319834,-0.7644707770000001,1.307480442,0.461631385,14.826023930000003,84.60434899999973,0.116894845,0.0462540260000006,1.08230872,-1.06470598,1.007245239,0.989642499,9.53600066,79.74198100000012,0.0408177420000002,0.0364533909999993,0.936829268,-2.646682209,0.57473099,1.135121951,6.770086079999999,337.0035870000001,0.0820086079999997,0.070857245,0.590487277,-2.690963467,0.6190122479999999,1.481463942,0.6502745200000106,52.938416999999845,0.0714552319999999,0.0050944990000001,,,,,,,,,24.8,0.282,-1.2
641302,2020,"Alexander, Tyler",68.0,1.304923664,-1.707423664,1.115591603,-0.713091603,8.821755730000007,138.14230799999996,0.0141793890000001,0.0904770990000001,1.303361164,-1.653595539,1.061763478,-0.7115291029999999,7.953786980000004,163.33762100000013,0.0737887640000001,0.0146177239999998,0.7447482249999999,-0.146502611,0.4453294499999999,-0.152916164,6.098948710000002,666.0767190000001,0.007794295,0.0111349939999998,0.1782684919999999,-0.06475125,0.5270808109999999,0.413563569,0.0558304799999973,47.993899000000056,0.0805964729999999,0.0160573839999997,0.686105482,-1.539105482,0.947273421,-0.094273421,4.639028460000006,113.67412599999987,0.06141152,0.0856592650000003,20.5,0.231,2.6
663465,2020,"Allard, Kolby",78.0,2.212356016,-1.8003560159999998,1.159157278,-1.571157278,14.842388459999995,138.3308239999999,0.059181613,0.1211991890000003,,,,,,,,,0.3369274449999999,-0.3158686209999999,0.325330117,0.304271293,9.054993499999997,427.3215809999999,0.033013546,0.2072748190000002,,,,,,,,,0.7871264969999999,-1.601486687,0.960287949,-0.145927759,4.861020820000007,92.02631900000006,0.0824785090000002,0.0313054849999998,46.5,0.332,-0.8
622075,2020,"Almonte, Yency",79.0,,,,,,,,,1.033745455,-0.543845455,1.067290909,0.577390909,10.407340910000002,194.11159099999983,0.026904545,0.032472727,0.493931819,-2.1095681820000003,0.498431818,1.117204545,6.881704550000009,333.0147730000001,0.247318181,0.1395227280000002,0.205628788,-2.460295455,0.849159091,1.405507576,0.0186742400000099,137.97840900000006,0.2542878779999999,0.0376439400000006,,,,,,,,,39.5,0.362,0.7
640470,2020,"Alzolay, Adbert",95.0,1.509421107,-0.4030148569999999,1.713870389,0.6074641390000001,13.63094262,474.39443800000026,0.0521362699999998,0.07210041,1.146368222,-0.6317528379999999,1.485132408,0.970517024,9.304981080000005,433.0469450000001,0.0328814619999999,0.0218600250000005,0.5790481229999999,-2.584854575,0.4679693289999999,1.537837123,9.332152300000004,704.8416179999999,0.1689423590000001,0.1225568479999994,0.3989836069999999,-2.671983607,0.5550983609999999,1.717901639,0.4115573800000049,97.74282799999992,0.0434487699999999,0.00310041,,,,,,,,,31.5,0.473,-0.7
474463,2020,"Anderson, Brett",70.0,2.404232595,-1.893346519,1.305846519,-1.816732595,14.113765820000012,341.2792720000002,0.1466772149999999,0.1975791139999998,1.808998494,-1.537191265,0.949691265,-1.221498494,7.97274096000001,319.03388600000017,0.1482831329999998,0.1433283129999996,0.541180556,-0.1616250000000001,0.4258749999999999,0.0463194439999999,7.479722219999999,510.2625000000001,0.351,0.1360277779999998,0.3958872950000001,-0.0877233610000001,0.4997766389999999,0.1916127049999999,0.4885655700000058,184.11168,0.2787295079999998,0.0414139340000003,0.381130618,-1.202029494,0.614529494,0.206369382,2.9271067399999997,61.13974700000017,0.1992415729999999,0.0689747189999998,2.1,0.281,2.9
502624,2020,"Anderson, Chase",66.0,2.706712777,-0.935093729,1.052327085,-0.719291963,15.264727430000008,85.14815700000008,0.235001939,0.012982547,,,,,,,,,0.3561488179999998,-2.826606334,0.8391855200000001,1.6312719960000002,9.932981400000005,70.2212169999998,0.06886375,0.048924082,0.2072365869999999,-2.513903253,0.5264824390000001,1.780184227,0.3337750499999998,42.6672050000002,0.040287653,0.0068745959999994,0.851833097,-1.071680425,0.915740389,1.135587717,5.210165450000005,268.7606339999997,0.241274567,0.0497917169999997,33.9,0.477,-3.7
666120,2020,"Anderson, Ian",92.0,2.065555625,-1.407572432,0.517427568,-0.140555625,13.967132820000003,52.34300399999984,0.1605048289999999,0.0094459420000001,,,,,,,,,0.506061737,-2.382425373,0.457425373,1.418938263,6.659837179999997,298.09643299999993,0.1675101759999999,0.0041909769999994,0.018824627,-2.424925373,0.499925373,1.943824627,0.2632462699999962,23.04039899999998,0.0055783579999999,0.0033955219999999,,,,,,,,,46.9,0.239,1.4
